TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
18966SPRPC1220I,323112,N230,10.0,Pounds,0.0643,NO,0.0,0.0652,0.0662,2.4006,5.9036,11.6279,YES,2.3354,2.3843,1.6402,YES,H20
7952WTXPRTLATLN,327320,N420,0.525,Pounds,95.8029,NO,94.2617,96.4227,97.0425,97.8634,100.0,98.6842,NO,1.4406,97.1765,0.0121,NO,H39
7604WTXLSS123CA,327320,N420,3.55,Pounds,98.8583,NO,98.8583,98.8583,98.8583,98.8583,98.8583,98.8583,NO,0.0,98.8583,0.0,NO,H39
7600WTXLNK39BDS,327320,N420,0.768,Pounds,98.8417,NO,98.8417,98.8417,98.8417,98.8417,98.8417,98.8417,NO,0.0,98.8417,0.0,NO,H39
7511WTXWLM11EAS,327320,N420,1.556,Pounds,94.2459,NO,91.3837,94.7945,95.3431,97.0684,100.0,98.7937,NO,2.2739,96.1276,0.0202,NO,H39
71483CHMBNHIGHW,325211,000050000,1092.0,Pounds,8.6081,NO,0.0,10.1705,11.8838,25.2202,47.7948,98.3979,YES,15.0497,29.3245,1.0083,YES,H39
71483CHMBNHIGHW,325211,000108952,1092.0,Pounds,11.4099,NO,0.0,11.6425,11.8838,80.8391,100.0,98.3979,NO,69.1966,45.4759,0.8049,NO,H39
7111WTXRDY351SH,327320,N420,5.672999999999999,Pounds,97.491,NO,97.491,97.491,97.491,97.491,97.491,97.491,NO,0.0,97.491,0.0,NO,H39
7110WTXSHR11BRA,327320,N420,3.092,Pounds,98.6599,NO,98.6599,98.6599,98.6599,98.6599,98.6599,98.6599,NO,0.0,98.6599,0.0,NO,H39
7510WTXCNT24664,327320,N420,1.4480000000000002,Pounds,96.4048,NO,95.2139,96.9895,97.5741,98.1731,99.9487,98.7722,NO,1.1837,97.5837,0.0099,NO,H39
7864WTXLND391HW,327320,N420,3.151,Pounds,98.592,NO,97.8104,98.7002,98.8084,99.2934,100.0,99.7783,NO,0.5932,99.0596,0.0052,NO,H39
7866WTXSNM251NI,327320,N420,1.741,Pounds,98.7577,NO,97.89,98.783,98.8082,99.3783,100.0,99.9483,NO,0.5953,99.1714,0.0055,NO,H39
7610WTXPRT19SEL,327320,N420,2.4930000000000003,Pounds,97.9568,NO,97.4584,98.3643,98.7718,98.9682,99.8742,99.1647,NO,0.6039,98.6311,0.0051,NO,H39
7506WTXNRT62EEL,327320,N420,1.979,Pounds,98.0674,NO,97.3013,98.3361,98.6049,99.0261,100.0,99.4472,NO,0.6899,98.7065,0.0058,NO,H39
7508WTXRWL22GRD,327320,N420,4.154,Pounds,97.9255,NO,97.61,98.4151,98.9048,98.9519,99.7571,98.999,NO,0.5368,98.6098,0.0049,NO,H39
7602WTXSTH1522M,327320,N420,1.771,Pounds,97.0943,NO,96.2908,97.6325,98.1707,98.527,99.8688,98.8833,NO,0.8945,98.0494,0.0075,NO,H39
7508WTXRCH66EAS,327320,N420,5.199,Pounds,97.7807,NO,97.4594,98.3105,98.8403,98.8779,99.729,98.9155,NO,0.5674,98.5122,0.0053,NO,H39
7549WTXWNN615WE,327320,N420,0.542,Pounds,95.2548,NO,93.2455,95.8481,96.4413,97.5831,100.0,98.725,NO,1.7351,96.807,0.0149,NO,H39
30120TLNTCPEEPL,331111,N450,114470.5,Pounds,18.0471,NO,0.0,18.2852,18.5273,89.6814,100.0,99.9357,NO,71.3962,54.5121,0.6893,NO,H10
39303STHRNWILER,331513,007440020,26532.0,Pounds,84.1111,NO,73.9019,84.669,85.2269,91.8471,100.0,98.4672,NO,7.1781,89.2684,0.073,NO,H10
30120TLNTCPEEPL,331111,N458,1195.0,Pounds,17.4914,NO,0.0,17.9942,18.5243,83.0493,100.0,99.9992,NO,65.0551,49.4129,0.6885,NO,H10
38301TLPRD825LO,331521,007439921,25.0,Pounds,7.1775,NO,0.0,7.1911,7.2046,95.039,100.0,99.96,NO,87.8479,45.5432,0.973,NO,H10
22630DPNTFPOBOX,325510,001330207,6093197.0,Pounds,93.8082,NO,86.1676,94.1959,94.5868,99.5481,100.0,99.9958,NO,5.3522,96.7796,0.0277,NO,H20
48116CMRNP7250W,331492,007440473,108366.0,Pounds,36.0643,NO,0.0,36.086,36.1078,99.7873,100.0,99.9963,NO,63.7013,65.8237,0.483,NO,H10
48116CMRNP7250W,331492,007440484,100289.0,Pounds,79.4979,NO,49.2332,79.5664,79.6349,99.7886,100.0,99.999,NO,20.2222,89.0445,0.1138,NO,H10
48116CMRNP7250W,331492,007440020,502353.0,Pounds,72.9648,NO,32.7768,73.0126,73.0605,99.8365,100.0,99.9986,NO,26.8239,85.5589,0.1568,NO,H10
48116CMRNP7250W,331492,007429905,8144.0,Pounds,82.7642,NO,69.9313,82.7937,82.8231,91.3686,100.0,99.9141,NO,8.5749,88.5005,0.0912,NO,H10
7862WTXGRG61BLE,327320,N420,1.933,Pounds,98.1218,NO,97.5401,98.4477,98.7736,99.0528,99.9604,99.332,NO,0.6051,98.7425,0.005,NO,H39
7872WTXGRN1311H,327320,N420,8.116,Pounds,98.1616,NO,97.6466,98.5023,98.843,99.0728,99.9285,99.3026,NO,0.5705,98.7691,0.0047,NO,H39
80014LFRGW2650C,327320,N420,4.835,Pounds,93.0667,NO,93.0667,93.0667,93.0667,93.0667,93.0667,93.0667,NO,0.0,93.0667,0.0,NO,H39
78664CMXRN2412R,327320,N420,0.769,Pounds,97.8372,NO,97.3311,98.2767,98.7163,98.9071,99.8527,99.0979,NO,0.6304,98.5505,0.0054,NO,H39
7560WTXLNG433EA,327320,N420,1.952,Pounds,97.992,NO,97.4296,98.3637,98.7355,98.9864,99.9205,99.2374,NO,0.6227,98.6549,0.0052,NO,H39
7520WTXCRN58CRI,327320,N420,5.789,Pounds,98.1519,NO,97.5732,98.4702,98.7884,99.0681,99.9651,99.3479,NO,0.598,98.7627,0.0049,NO,H39
7518WTXLKJ129LA,327320,N420,4.505,Pounds,97.4054,NO,96.788,97.9269,98.4484,98.6862,99.8252,98.924,NO,0.7593,98.2593,0.0065,NO,H39
7522WTXSPN161SP,327320,N420,11.635,Pounds,99.3171,NO,99.0613,99.4191,99.521,99.6576,100.0,99.7942,NO,0.2385,99.5441,0.002,NO,H39
7517WTXWLM2221B,327320,N420,0.649,Pounds,98.9329,NO,98.9329,98.9329,98.9329,98.9329,98.9329,98.9329,NO,0.0,98.9329,0.0,NO,H39
30120TLNTCPEEPL,331111,N420,70797.0,Pounds,18.0517,NO,0.0,18.2875,18.5273,89.5223,100.0,99.5401,NO,71.2347,53.0296,0.7031,NO,H10
30120TLNTCPEEPL,331111,N982,1429731.4,Pounds,18.049,NO,0.0,18.2861,18.5273,89.7049,100.0,99.9937,NO,71.4187,54.5258,0.6894,NO,H10
54701MRCNP800WI,326299,000137268,580.0,Pounds,46.6066,NO,0.0,46.7471,46.8876,98.7562,100.0,99.9983,NO,52.0091,71.2597,0.3678,NO,H39
46721STLDY4500C,331111,N450,3.0,Pounds,0.0001,NO,0.0,0.0001,0.0001,0.0015,0.0036,21.4286,YES,0.0014,0.3698,4.8012,YES,H10
80204LFRGW1151Q,327320,N420,5.055,Pounds,94.585,NO,94.585,94.585,94.585,94.585,94.585,94.585,NO,0.0,94.585,0.0,NO,H39
8012WMRTNM9511T,327320,N420,2.869,Pounds,94.7083,NO,94.7083,94.7083,94.7083,94.7083,94.7083,94.7083,NO,0.0,94.7083,0.0,NO,H39
80525LFRGW3000S,327320,N420,4.121,Pounds,99.5026,NO,99.5026,99.5026,99.5026,99.5026,99.5026,99.5026,NO,0.0,99.5026,0.0,NO,H39
80631LFRGW925N3,327320,N420,2.869,Pounds,92.4321,NO,92.4321,92.4321,92.4321,92.4321,92.4321,92.4321,NO,0.0,92.4321,0.0,NO,H39
54701WRRNV5200S,562211,N230,191919.0,Pounds,55.9588,NO,0.0,55.9826,56.0065,99.9115,100.0,99.975,NO,43.9289,76.4835,0.2866,NO,H20
38301TLPRD825LO,331521,007440508,96170.0,Pounds,87.9596,NO,69.9123,87.9617,87.9639,99.9946,100.0,99.9997,NO,12.0329,93.1194,0.064,NO,H10
98221SHLLLWESTM,324110,N420,794.0,Pounds,91.501,NO,88.343,93.736,95.4866,97.3314,100.0,99.7287,NO,3.5953,95.4803,0.024,NO,H39
98221SHLLLWESTM,324110,N458,0.1,Pounds,0.2593,NO,0.0,0.3565,0.4975,0.645,1.0777,47.619,YES,0.2885,2.9418,2.8757,YES,H39
98221SHLLLWESTM,324110,001330207,870464.0,Pounds,97.4102,NO,95.4194,97.8606,98.3152,99.4881,100.0,99.9991,NO,1.6275,98.6754,0.0089,NO,H20
7540WTXGRN65NRT,327320,N420,1.616,Pounds,95.2269,NO,93.2057,95.8235,96.42,97.5686,100.0,98.7172,NO,1.7451,96.788,0.015,NO,H39
7824WMRTNM67PUE,327320,N420,4.58,Pounds,98.537,NO,97.6285,98.6113,98.6856,99.2665,100.0,99.8474,NO,0.6552,99.0233,0.0059,NO,H39
7821WMRTNM71NEL,327320,N420,3.0010000000000003,Pounds,98.458,NO,97.5894,98.5713,98.6846,99.226,100.0,99.7673,NO,0.6546,98.97,0.0058,NO,H39
72209MRTNM1555L,327320,N420,2.727,Pounds,99.1636,NO,99.1636,99.1636,99.1636,99.1636,99.1636,99.1636,NO,0.0,99.1636,0.0,NO,H39
89821CRTZGSTARA,212221,N010,93.0,Pounds,0.0466,NO,0.0,0.0467,0.0468,4.6457,11.5441,9.2445,NO,4.599,3.1127,1.393,YES,H39
89821CRTZGSTARA,212221,N420,4.3,Pounds,0.0,NO,0.0,0.0,0.0,0.0013,0.0031,97.7273,YES,0.0012,3.7912,4.4727,YES,H39
89821CRTZGSTARA,212221,N450,22.0,Pounds,0.0368,NO,0.0,0.0368,0.0369,41.9086,100.0,95.6522,NO,41.8717,25.6595,1.3219,YES,H39
89821CRTZGSTARA,212221,N495,498.0,Pounds,0.4365,NO,0.0,0.4372,0.4379,56.6231,100.0,99.7996,NO,56.1859,30.6849,1.2183,YES,H39
31601GRFFNROCKY,325320,N100,73743.0,Pounds,61.5988,NO,34.0445,61.8548,62.1109,80.3951,100.0,98.6792,NO,18.5402,74.1296,0.2342,NO,H39
46721STLDY4500C,331111,N982,61.0,Pounds,0.0002,NO,0.0,0.0002,0.0002,0.046,0.1146,0.5153,YES,0.0458,0.0869,2.0264,YES,H10
98221SHLLLWESTM,324110,000108883,611407.0,Pounds,91.9633,NO,83.2353,92.7473,93.5447,99.0885,100.0,99.9994,NO,6.3413,95.8572,0.0335,NO,H20
07936FRTZSMERRY,311930,000067561,11999.0,Pounds,34.3929,NO,15.458,41.6421,50.9425,59.0982,85.2823,99.9583,YES,17.4561,56.6253,0.3493,NO,H20
