TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
35601WHTTKDECAT,325510,100414,1000.0,Pounds,1.9451,NO,0.0,1.9991,2.053,14.54,33.3514,27.027,NO,12.5409,10.3417,1.1409,YES,R11
35601WHTTKDECAT,325510,91203,0.5,Pounds,0.0034,NO,0.0,0.0044,0.0053,0.0075,0.0121,0.0096,NO,0.0031,0.0061,0.4211,NO,R11
38901LSNPCHWY51,321113,N020,4.0,Pounds,44.4444,NO,44.4444,44.4444,44.4444,44.4444,44.4444,44.4444,NO,0.0,44.4444,0.0,NO,R99
77327LSNPC9MILE,321212,108952,150.0,Pounds,3.5311,NO,0.0,3.7064,3.9002,34.9545,81.8265,42.735,NO,31.248,18.2126,0.9565,NO,R99
77656KRBYFPOBOX,321219,N100,6.0,Pounds,2.3438,NO,2.3438,2.3438,2.3438,2.3438,2.3438,2.3438,NO,0.0,2.3438,0.0,NO,R99
77358LSNPCHWY75,321219,N090,40.0,Pounds,5.0633,NO,5.0633,5.0633,5.0633,5.0633,5.0633,5.0633,NO,0.0,5.0633,0.0,NO,R99
77358LSNPCHWY75,321219,N100,24.0,Pounds,3.1008,NO,3.1008,3.1008,3.1008,3.1008,3.1008,3.1008,NO,0.0,3.1008,0.0,NO,R99
31792VRNYP216OA,336399,67641,0.5,Pounds,0.0008,NO,0.0,0.0011,0.0015,0.0024,0.0043,0.0176,YES,0.0013,0.0041,1.3616,YES,R11
28523CVCTYHWY10,321114,N090,398.0,Pounds,49.0148,NO,36.277,54.3873,59.7598,66.4608,84.571,73.1618,NO,12.0735,60.6454,0.1629,NO,R99
46516RBRTW3200M,321999,108883,31500.0,Pounds,55.4577,NO,24.1663,55.8288,56.1998,76.9371,100.0,97.6744,NO,21.1083,69.7773,0.2827,NO,R19
64150MLLRL4255W,325611,7782505,728.0,Pounds,74.4376,NO,74.4376,74.4376,74.4376,74.4376,74.4376,74.4376,NO,0.0,74.4376,0.0,NO,R99
02863GTPRD1193B,327212,N420,560300.0,Pounds,82.4935,NO,76.3746,85.9974,89.6552,92.4126,100.0,99.9991,NO,6.4152,90.7113,0.0643,NO,R99
19454SYNFN1400W,313320,79016,1142790.0,Pounds,93.6345,NO,88.861,93.6347,93.6349,96.8172,100.0,99.9996,NO,3.1825,95.7563,0.0313,NO,R19
93307KRNLRRR677,324110,108883,421.0,Pounds,0.9516,NO,0.0,0.972,0.9924,18.8325,45.6233,98.8263,YES,17.8605,25.2236,1.4818,YES,R19
31709MCFRT1611O,325314,N450,29000.0,Pounds,98.3051,NO,98.095,98.7252,99.1453,99.1453,99.7755,99.1453,NO,0.4201,98.8652,0.004,NO,R99
31709MCFRT1611O,325314,7664417,20000.0,Pounds,97.561,NO,97.2599,98.1632,98.7654,98.7654,99.6688,98.7654,NO,0.6022,98.3639,0.0058,NO,R99
16365PTTDS1420L,332313,1330207,0.5,Pounds,0.0035,NO,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,NO,0.0,0.0035,0.0,NO,R11
61552CTRPLOLDGA,333618,N982,8800.0,Pounds,17.772,NO,0.0,21.5268,25.2874,37.4341,61.295,99.8185,YES,15.9073,37.2571,0.7145,NO,R99
33825WLLCR1315S,336612,67641,26048.0,Pounds,20.3581,NO,0.0,20.3659,20.3737,59.9994,100.0,99.6252,NO,39.6335,46.7857,0.7986,NO,R11
