CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
140-88-5,140885,"250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","100,000,000 - 250,000,000 lb","250,000,000 - 500,000,000 lb"
140-89-6,140896,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
140921-24-0,140921240,Withheld,Withheld,Withheld,Withheld
140-93-2,140932,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
140-95-4,140954,Withheld,Withheld,Withheld,Withheld
14100-64-2,14100642,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
141-02-6,141026,Withheld,Withheld,Withheld,Withheld
141-04-8,141048,"100,000 - 500,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
141-05-9,141059,Withheld,Withheld,Withheld,Withheld
141-12-8,141128,Withheld,Withheld,Withheld,Withheld
141-13-9,141139,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
141-14-0,141140,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
141-17-3,141173,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
141-18-4,141184,Withheld,Withheld,Withheld,Withheld
141185,141185,Withheld,Withheld,Withheld,Withheld
141-19-5,141195,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","25,000 - 100,000 lb"
141-21-9,141219,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
141-22-0,141220,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
141-23-1,141231,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
141-24-2,141242,Withheld,Withheld,Withheld,Withheld
141-27-5,141275,Withheld,Withheld,Withheld,Withheld
1412893-77-6,1412893776,Withheld,Withheld,Withheld,Withheld
1412893-78-7,1412893787,Withheld,Withheld,Withheld,Withheld
141-32-2,141322,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
141-33-3,141333,Withheld,Withheld,Withheld,Withheld
141347-05-9,141347059,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
141-38-8,141388,Withheld,Withheld,Withheld,Withheld
141414,141414,Withheld,Withheld,Withheld,Withheld
141-43-5,141435,"500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
141436,141436,Withheld,Withheld,Withheld,Withheld
141-52-6,141526,Withheld,Withheld,Withheld,Withheld
141-53-7,141537,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
14154-42-8,14154428,Withheld,Withheld,Withheld,Withheld
141-57-1,141571,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
141-62-8,141628,Withheld,Withheld,Withheld,Withheld
141-63-9,141639,Withheld,Withheld,Withheld,Withheld
14167-15-8,14167158,Withheld,Withheld,Withheld,Withheld
14168-73-1,14168731,"10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","< 25,000 lb"
1417164-49-8,1417164498,Withheld,Withheld,Withheld,Withheld
14177-51-6,14177516,"100,000 - 500,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb"
14177-55-0,14177550,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
141-78-6,141786,"100,000,000 - 250,000,000 lb","250,000,000 - 500,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb"
1417900-96-9,1417900969,Withheld,Withheld,Withheld,Withheld
141-79-7,141797,Withheld,Withheld,Withheld,Withheld
141808-04-0,141808040,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
141-82-2,141822,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb"
141845,141845,Withheld,Withheld,Withheld,Withheld
141904-03-2,141904032,Withheld,Withheld,Withheld,Withheld
141947,141947,Withheld,Withheld,Withheld,Withheld
141-95-7,141957,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
141-97-9,141979,"10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
141-98-0,141980,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
14215-15-7,14215157,Withheld,Withheld,Withheld,Withheld
142155,142155,Withheld,Withheld,Withheld,Withheld
142-16-5,142165,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
142-17-6,142176,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
142-18-7,142187,Withheld,Withheld,Withheld,Withheld
142-19-8,142198,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
142-22-3,142223,Withheld,Withheld,Withheld,Withheld
142-26-7,142267,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
14228-73-0,14228730,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
142-28-9,142289,Withheld,Withheld,Withheld,Withheld
142-29-0,142290,Withheld,Withheld,Withheld,Withheld
142-30-3,142303,Withheld,Withheld,Withheld,Withheld
142-31-4,142314,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
14234-82-3,14234823,Withheld,Withheld,Withheld,Withheld
142451,142451,Withheld,Withheld,Withheld,Withheld
142-47-2,142472,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
142474-86-0,142474860,Withheld,Withheld,Withheld,Withheld
142-54-1,142541,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
142542,142542,Withheld,Withheld,Withheld,Withheld
142-58-5,142585,Withheld,Withheld,Withheld,Withheld
142-59-6,142596,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
14260-98-1,14260981,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","< 25,000 lb"
142-62-1,142621,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
1426298-25-0,1426298250,Withheld,Withheld,Withheld,Withheld
142636-88-2,142636882,Withheld,Withheld,Withheld,Withheld
142636-89-3,142636893,Withheld,Withheld,Withheld,Withheld
14263-73-1,14263731,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
142-71-2,142712,Withheld,Withheld,Withheld,Withheld
142-72-3,142723,"100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb"
142-73-4,142734,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
142-77-8,142778,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
142-78-9,142789,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
142-82-5,142825,"500,000,000 - 750,000,000 lb","250,000,000 - 500,000,000 lb","500,000,000 - 750,000,000 lb","100,000,000 - 250,000,000 lb"
142-84-7,142847,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
14285-59-7,14285597,Withheld,Withheld,Withheld,Withheld
14286-02-3,14286023,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
142-87-0,142870,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
142-90-5,142905,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
142-91-6,142916,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
142-92-7,142927,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb"
142939,142939,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
142-96-1,142961,Withheld,Withheld,Withheld,Withheld
142982-21-6,142982216,Withheld,Withheld,Withheld,Withheld
142994-05-6,142994056,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
14302-13-7,14302137,Withheld,Withheld,Withheld,Withheld
143034,143034,Withheld,Withheld,Withheld,Withheld
143-06-6,143066,Withheld,Withheld,Withheld,Withheld
143-07-7,143077,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
143078,143078,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
143-08-8,143088,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
1430895-62-7,1430895627,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
143-15-7,143157,Withheld,Withheld,Withheld,Withheld
143-18-0,143180,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
143-19-1,143191,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
143-22-6,143226,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
14323-43-4,14323434,Withheld,Withheld,Withheld,Withheld
143-23-7,143237,Withheld,Withheld,Withheld,Withheld
14324-55-1,14324551,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
143-24-8,143248,"100,000 - 500,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb"
143269-74-3,143269743,Withheld,Withheld,Withheld,Withheld
143-27-1,143271,Withheld,Withheld,Withheld,Withheld
143-28-2,143282,"25,000 - 100,000 lb","< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
143-29-3,143293,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
143-33-9,143339,"250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb"
143400-68-4,143400684,"500,000 - 1,000,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
143501,143501,Withheld,Withheld,Withheld,Withheld
14350-97-1,14350971,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb"
143701-81-9,143701819,Withheld,Withheld,Withheld,Withheld
1437280-84-6,1437280846,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
1437280-85-7,1437280857,"500,000 - 1,000,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
1437281-01-0,1437281010,"500,000 - 1,000,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
1437281-03-2,1437281032,"500,000 - 1,000,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
1437281-04-3,1437281043,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
1437281-13-4,1437281134,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
143807,143807,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
143925-92-2,143925922,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb"
144020-22-4,144020224,Withheld,Withheld,Withheld,Withheld
14402-88-1,14402881,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
144-15-0,144150,"< 25,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
144-19-4,144194,Withheld,Withheld,Withheld,Withheld
14426-21-2,14426212,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
14433-76-2,14433762,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
14450-05-6,14450056,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
144538-83-0,144538830,Withheld,Withheld,Withheld,Withheld
1445-45-0,1445450,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
144-55-8,144558,"750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
1445-79-0,1445790,Withheld,Withheld,Withheld,Withheld
144582,144582,Withheld,Withheld,Withheld,Withheld
144606,144606,Withheld,Withheld,Withheld,Withheld
1446254-75-6,1446254756,"< 25,000 lb","1,000,000 - 10,000,000 lb","< 25,000 lb","25,000 - 100,000 lb"
144-62-7,144627,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
144639,144639,Withheld,Withheld,Withheld,Withheld
14464-46-1,14464461,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
14475-63-9,14475639,Withheld,Withheld,Withheld,Withheld
144-79-6,144796,Withheld,Withheld,Withheld,Withheld
14481-60-8,14481608,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
144-83-2,144832,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
14486-19-2,14486192,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
145063,145063,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
14507-19-8,14507198,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
145096,145096,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
145153-52-2,145153522,Withheld,Withheld,Withheld,Withheld
14518-69-5,14518695,Withheld,Withheld,Withheld,Withheld
145556-04-3,145556043,Withheld,Withheld,Withheld,Withheld
14576-08-0,14576080,"< 25,000 lb",Withheld,Withheld,Withheld
145790,145790,Withheld,Withheld,Withheld,Withheld
145804-94-0,145804940,Withheld,Withheld,Withheld,Withheld
145899-78-1,145899781,Withheld,Withheld,Withheld,Withheld
145961,145961,Withheld,Withheld,Withheld,Withheld
145963-84-4,145963844,Withheld,Withheld,Withheld,Withheld
1459738-70-5,1459738705,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
1459-93-4,1459934,Withheld,Withheld,Withheld,Withheld
1461-22-9,1461229,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
1461-25-2,1461252,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
146157,146157,Withheld,Withheld,Withheld,Withheld
146237-62-9,146237629,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
146271,146271,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
146289-36-3,146289363,Withheld,Withheld,Withheld,Withheld
14639-97-5,14639975,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
14639-98-6,14639986,Withheld,Withheld,Withheld,Withheld
14643-87-9,14643879,Withheld,Withheld,Withheld,Withheld
14644-61-2,14644612,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
14666-94-5,14666945,Withheld,Withheld,Withheld,Withheld
146781-64-8,146781648,Withheld,Withheld,Withheld,Withheld
146865-37-4,146865374,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
14691-80-6,14691806,Withheld,Withheld,Withheld,Withheld
146987-98-6,146987986,Withheld,Withheld,Withheld,Withheld
147094-54-0,147094540,Withheld,Withheld,Withheld,Withheld
147-14-8,147148,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
147170-44-3,147170443,Withheld,Withheld,Withheld,Withheld
147256-33-5,147256335,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
14726-36-4,14726364,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
1472-93-1,1472931,Withheld,Withheld,Withheld,Withheld
147315-50-2,147315502,Withheld,Withheld,Withheld,Withheld
147376,147376,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
14745-75-6,14745756,Withheld,Withheld,Withheld,Withheld
147-47-7,147477,"< 25,000 lb","< 25,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
14765-30-1,14765301,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
147732-58-9,147732589,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
147732-59-0,147732590,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","100,000 - 500,000 lb"
147732-60-3,147732603,Withheld,Withheld,Withheld,Withheld
1477-42-5,1477425,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
1477-55-0,1477550,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb"
147809,147809,Withheld,Withheld,Withheld,Withheld
14782-75-3,14782753,Withheld,Withheld,Withheld,Withheld
147-85-3,147853,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
147853-32-5,147853325,Withheld,Withheld,"100,000 - 500,000 lb",Withheld
147853-56-3,147853563,Withheld,"< 25,000 lb","< 25,000 lb","< 25,000 lb"
1478-61-1,1478611,"100,000 - 500,000 lb","100,000 - 500,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
147900-93-4,147900934,Withheld,Withheld,Withheld,"25,000 - 100,000 lb"
147952-37-2,147952372,Withheld,Withheld,Withheld,Withheld
147977-79-5,147977795,Withheld,Withheld,Withheld,Withheld
14802-03-0,14802030,Withheld,Withheld,Withheld,Withheld
14806-72-5,14806725,"1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
14807-96-6,14807966,"50,000,000 - 100,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","50,000,000 - 100,000,000 lb"
14808-60-7,14808607,"100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb"
14814-09-6,14814096,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
148-18-5,148185,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
148211,148211,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
148-25-4,148254,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
14826-66-5,14826665,Withheld,Withheld,Withheld,Withheld
148373-01-7,148373017,Withheld,Withheld,Withheld,Withheld
148462-57-1,148462571,Withheld,Withheld,Withheld,Withheld
1484-84-0,1484840,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
148520-81-4,148520814,Withheld,Withheld,Withheld,Withheld
148520-82-5,148520825,Withheld,Withheld,Withheld,Withheld
14852-17-6,14852176,"25,000 - 100,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
148-53-8,148538,Withheld,Withheld,Withheld,Withheld
148617-57-6,148617576,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
148617-59-8,148617598,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
148691-66-1,148691661,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
14874-86-3,14874863,Withheld,Withheld,Withheld,Withheld
148788-55-0,148788550,"25,000 - 100,000 lb","< 25,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
148812-65-1,148812651,"25,000 - 100,000 lb","< 25,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
14882-18-9,14882189,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
148835,148835,Withheld,Withheld,Withheld,Withheld
14887-42-4,14887424,Withheld,Withheld,Withheld,Withheld
1490-04-6,1490046,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
14901-07-6,14901076,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
149123,149123,Withheld,Withheld,Withheld,Withheld
149303-87-7,149303877,Withheld,Withheld,Withheld,Withheld
149-30-4,149304,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
1493-13-6,1493136,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb"
14940-68-2,14940682,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
149-44-0,149440,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
149-45-1,149451,Withheld,Withheld,Withheld,Withheld
149458-07-1,149458071,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
149-57-5,149575,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
14960-06-6,14960066,"100,000 - 500,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
14970-87-7,14970877,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
149-73-5,149735,Withheld,Withheld,Withheld,Withheld
14974-48-2,14974482,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
149-74-6,149746,Withheld,Withheld,Withheld,Withheld
149821-07-8,149821078,Withheld,Withheld,Withheld,Withheld
149-82-6,149826,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb"
149850-30-6,149850306,Withheld,"< 25,000 lb",Withheld,Withheld
1498-51-7,1498517,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
149879-98-1,149879981,Withheld,Withheld,Withheld,Withheld
149894,149894,Withheld,Withheld,Withheld,Withheld
149-91-7,149917,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
149935-01-3,149935013,Withheld,Withheld,Withheld,Withheld
149985,149985,Withheld,Withheld,Withheld,Withheld
150099-94-8,150099948,"< 25,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
1501-27-5,1501275,Withheld,Withheld,Withheld,Withheld
150-13-0,150130,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
15017-02-4,15017024,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
150339-33-6,150339336,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","750,000,000 - 1,000,000,000 lb","10,000,000 - 50,000,000 lb"
150-38-9,150389,Withheld,Withheld,Withheld,Withheld
150-39-0,150390,"< 25,000 lb",Withheld,"< 25,000 lb","< 25,000 lb"
150-46-9,150469,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
150-50-5,150505,Withheld,Withheld,Withheld,Withheld
150514-78-6,150514786,Withheld,Withheld,Withheld,Withheld
1506-02-1,1506021,Withheld,Withheld,Withheld,Withheld
150700,150700,Withheld,Withheld,Withheld,Withheld
150702-37-7,150702377,Withheld,Withheld,Withheld,Withheld
150-76-5,150765,Withheld,Withheld,Withheld,Withheld
150824,150824,Withheld,Withheld,"25,000 - 100,000 lb",Withheld
150-84-5,150845,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
15096-52-3,15096523,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
151006-58-5,151006585,Withheld,Withheld,Withheld,Withheld
