CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
10/1/3083,3083101,Withheld,Withheld,Withheld,Withheld
3084-40-0,3084400,Withheld,Withheld,Withheld,Withheld
3085-35-6,3085356,Withheld,Withheld,Withheld,Withheld
3087-36-3,3087363,Withheld,Withheld,Withheld,Withheld
3087-37-4,3087374,Withheld,Withheld,Withheld,Withheld
3089-11-0,3089110,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
3089-16-5,3089165,Withheld,Withheld,Withheld,Withheld
3089-17-6,3089176,Withheld,Withheld,Withheld,Withheld
3089-19-8,3089198,Withheld,Withheld,Withheld,Withheld
3091-25-6,3091256,Withheld,Withheld,Withheld,Withheld
30965-85-6,30965856,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
8/3/3097,3097083,Withheld,Withheld,Withheld,Withheld
309934-69-8,309934698,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
31001-77-1,31001771,Withheld,Withheld,Withheld,Withheld
3101-60-8,3101608,"100,000 - 500,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb"
31024-56-3,31024563,Withheld,Withheld,Withheld,Withheld
31138-65-5,31138655,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
3115-39-7,3115397,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
3115-49-9,3115499,Withheld,Withheld,Withheld,Withheld
3115-68-2,3115682,Withheld,Withheld,Withheld,Withheld
311-89-7,311897,Withheld,Withheld,Withheld,Withheld
