CAS NUMBER,CATEGORY CODE,CATEGORY NAME,CHEMICAL NAME,CHEMICAL TYPE,SOURCE
95-57-8,N084,CHLOROPHENOLS,2-chlorophenol,Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
108-43-0,N084,CHLOROPHENOLS,3-chlorophenol,Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
106-48-9,N084,CHLOROPHENOLS,4-chloroplienol,Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
576-24-9,N084,CHLOROPHENOLS,"2,3-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
583-78-8,N084,CHLOROPHENOLS,"2,5-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
87-65-0,N084,CHLOROPHENOLS,"2,6,-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
95-77-2,N084,CHLOROPHENOLS,"3,4,-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
591-35-5,N084,CHLOROPHENOLS,"3,5,-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
15950-66-0,N084,CHLOROPHENOLS,"2,3,4,-trichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
933-78-8,N084,CHLOROPHENOLS,"2,3,5,-trichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
933-75-5,N084,CHLOROPHENOLS,"2,3,6,-trichlorophcnol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
609-19-8,N084,CHLOROPHENOLS,"3,4,5-trichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
4901-51-3,N084,CHLOROPHENOLS,"2,3,4,5-tetrachlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
58-90-2,N084,CHLOROPHENOLS,"2,3,4,6-tetrachlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
935-95-5,N084,CHLOROPHENOLS,"2,3,5,6-tetrachlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
87-86-5,N084,CHLOROPHENOLS,"2,3,4,5,6-Pentachlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
74-90-8,N106,CYANIDE COMPOUNDS,Hydrogen cyanide,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
143-33-9,N106,CYANIDE COMPOUNDS,Sodium cyanide,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
151-50-8,N106,CYANIDE COMPOUNDS,Potassium cyanide,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
592-01-8,N106,CYANIDE COMPOUNDS,Calcium cyanide,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
544-92-3,N106,CYANIDE COMPOUNDS,Copper(l) cyanide,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
506-61-6,N106,CYANIDE COMPOUNDS,Potassium silver cyanide,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
460-19-5,N106,CYANIDE COMPOUNDS,Cyanogen,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
506-77-4,N106,CYANIDE COMPOUNDS,Cyanogen chloride,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
1762-95-4,N106,CYANIDE COMPOUNDS,Ammonium thiocyanate,Organic,https://www.atsdr.cdc.gov/toxprofiles/tp8-c4.pdf
111-54-6,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS",Ethylenebisdithiocarbamic acid (EBDC),Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
1428-76-8,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamic acid, ethylenebis[dithio-, ammonium sodium salt)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
3566-10-7,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamodithioic acid, 1,2-ethanediylbis-, diammonium salt",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
5895-18-1,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamodithioic acid, 1,2-ethanediylbis-, calcium salt (1:1)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
8018-01-7,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS",Ethylenebis (dithiocarbamic acid) manganese zinc complex,Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
10039-34-6,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamodithioic acid, 1,2-ethanediylbis-, dipotassium salt",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
13036-89-0,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamodithioic acid, 1,2-ethanediylbis-, monosodium salt",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
17188-79-3,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamodithioic acid, 1,2-ethanediylbis-, ammonium salt",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
22124-95-4,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamodithioic acid, 1,2-ethanediylbis-, sodium salt",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
22221-14-3,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamic acid, ethylenebis[dithio-, ammonium potassium salt",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
120834-78,N171,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","Carbamodithioic acid, 1,2-ethanediylbis-, mixt. with dimethylcarbamodithioic acid",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:0::::gd:ebdcs_2
13275-21-3,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1-trichloro-3,5-dimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
17081-64-0,N583,POLYCHLORINATED ALKANES,"Octane, 1,3,7-trichloro-3,7-dimethyl-, (�)-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
39185-78-9,N583,POLYCHLORINATED ALKANES,"Decane, 2,2,4-trichloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
62108-56-9,N583,POLYCHLORINATED ALKANES,"Decane, 1,1,1-trichloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
64554-71-8,N583,POLYCHLORINATED ALKANES,"Decane, trichloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
64961-16-6,N583,POLYCHLORINATED ALKANES,"Octane, 1,3,7-trichloro-3,7-dimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
66651-36-3,N583,POLYCHLORINATED ALKANES,"Decane, 1,1,3-trichloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
87147-86-2,N583,POLYCHLORINATED ALKANES,"Octane, 1,3,5-trichloro-7,7-dimethyl-(R*,R*)-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
87147-87-3,N583,POLYCHLORINATED ALKANES,"Octane, 1,3,5-trichloro-7,7-dimethyl-(R*,S*)-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
87260-59-1,N583,POLYCHLORINATED ALKANES,"Octane, 1,3,5-trichloro-7,7-dimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
99175-28-7,N583,POLYCHLORINATED ALKANES,"Octane, 1,2,7-trichloro-3,7-dimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
108140-20-1,N583,POLYCHLORINATED ALKANES,"Decane, 1,3,5-trichloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
154120-66-8,N583,POLYCHLORINATED ALKANES,"Heptane, 1,7-dichloro-4-(3-chloropropyl)-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
159715-71-6,N583,POLYCHLORINATED ALKANES,Not yet assigned,Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
10311-15-6,N583,POLYCHLORINATED ALKANES,"Decane, 1,1,1,10-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
17977-23-0,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
29293-15-0,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl-, D,D,L-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
29293-20-7,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl, -D,D,D-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
29293-21-8,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl-, D,L,D-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
29293-22-9,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl-, D,L,L-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
31031-25-1,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl-(3R*,5R*,7R*)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
31031-26-2,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl-, heterotactic",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
31107-32-1,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,7-tetrachloro-3,5-dimethyl-, (3R*,5S*,7R*)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
33025-70-6,N583,POLYCHLORINATED ALKANES,"Decane, 1,1,10,10-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
51500-53-9,N583,POLYCHLORINATED ALKANES,"Nonane, 2,4,4,8-tetrachloro-6-methyl",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
51755-60-3,N583,POLYCHLORINATED ALKANES,"Decane, 1,1,1,3-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
91087-09-1,N583,POLYCHLORINATED ALKANES,"Decane, 5,5,6,6-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
102880-00-2,N583,POLYCHLORINATED ALKANES,"Decane, 1,5,6,10-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
108140-19-8,N583,POLYCHLORINATED ALKANES,"Decane, 1,3,3,5-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
109749-69-1,N583,POLYCHLORINATED ALKANES,"Heptane, 1,1,1,6-tetrachloro-3,3,6-trimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
90943-97-8,N583,POLYCHLORINATED ALKANES,"Decane, 1,5,5,6,6,10-hexachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
99192-48-0,N583,POLYCHLORINATED ALKANES,"Octane, 2,4,4,5,5,7-hexachloro-2,7-dimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
32534-78-4,N583,POLYCHLORINATED ALKANES,"Decane, heptachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
69537-72-0,N583,POLYCHLORINATED ALKANES,"Heptane, 2,2,4,6,6-pentachloro-4-(2,2-dichoropropyl)-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
3922-25-6,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,1-trichloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
56686-58-9,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,3-trichloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
80365-36-2,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,5-trichloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
80365-37-3,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,6-trichloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
80365-38-4,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,8-trichloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
80365-39-5,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,9-trichloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
80365-40-8,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,10-trichloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
86405-89-2,N583,POLYCHLORINATED ALKANES,"Nonane, 4-(2,2,2-trichloroethyl)-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
3922-34-7,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,1,11-tetrachloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
39580-89-7,N583,POLYCHLORINATED ALKANES,"Pentane, 1,1,1,3-tetrachloro-3-(1,1-dimethylethyl)-4,4-dimethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
56686-55-6,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,1,3-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
63981-28-2,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,1,2-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
63988-32-9,N583,POLYCHLORINATED ALKANES,"Undecane, tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
105278-95-3,N583,POLYCHLORINATED ALKANES,"Heptane, 1,1,7,7-tetrachloro-3,3,5,5-tetramethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
140899-23-6,N583,POLYCHLORINATED ALKANES,"Undecane, 2,4,6,8,10-pentachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
36312-81-9,N583,POLYCHLORINATED ALKANES,"Undecane, octachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
18993-26-5,N583,POLYCHLORINATED ALKANES,"Undecane, 1,1,1,3,5,7,9,11-11-nonachloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
62108-57-0,N583,POLYCHLORINATED ALKANES,"Dodecane, 1,1,1-trichloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
10311-16-7,N583,POLYCHLORINATED ALKANES,"Dodecane, 1,1,1,12-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
14983-60-9,N583,POLYCHLORINATED ALKANES,"Dodecane, 1,1,1,3-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
60836-00-2,N583,POLYCHLORINATED ALKANES,"Dodecane, 1,1,12,12-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
87562-53-6,N583,POLYCHLORINATED ALKANES,"Decane, 1,3,5,7-tetrachloro-9,9-dimethyl-(3R*,5S*,7S*)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
87585-26-0,N583,POLYCHLORINATED ALKANES,"Decane, 1,3,5,7-tetrachloro-9,9-dimethyl-(3R*,5R*,7S*)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
87585-27-1,N583,POLYCHLORINATED ALKANES,"Decane, 1,3,5,7-tetrachloro-9,9-dimethyl-(3R*,5R*,7R*)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
87585-28-2,N583,POLYCHLORINATED ALKANES,"Decane, 1,3,5,7-tetrachloro-9,9-dimethyl-(3R*,5S*,7R*)",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
100525-30-2,N583,POLYCHLORINATED ALKANES,"Dodecane, 1,1,1,2,2,12-hexachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
128600-85-1,N583,POLYCHLORINATED ALKANES,"Octane, 1,1,1,8,8,8-hexachloro-3,3,6,6-tetramethyl-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
136671-00-6,N583,POLYCHLORINATED ALKANES,"Dodecane, 1,3,5,7,9,11-hexachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
3922-33-6,N583,POLYCHLORINATED ALKANES,"Tridecane, 1,1,1,13-tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
67095-50-5,N583,POLYCHLORINATED ALKANES,"Tridecane, 1,1,1,3,-tetrachloro",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
88938-19-6,N583,POLYCHLORINATED ALKANES,"Undecane, 5-chloro-7-(2,2,2-trichloroethyl)-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
96621-01-1,N583,POLYCHLORINATED ALKANES,"Tridecane, tetrachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
57437-54-4,N583,POLYCHLORINATED ALKANES,"Tridecane, pentachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
141600-29-,N583,POLYCHLORINATED ALKANES,"Tridecane, 2,4,6,8,10,12-hexachloro-",Organic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:alkanes_3
7784-27-2,N511,NITRATE COMPOUNDS,"Aluminum nitrate, nonahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
6484-52-2,N511,NITRATE COMPOUNDS,Ammonium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13083-04-0,N511,NITRATE COMPOUNDS,"Cerium (III) ammonium nitrate, tetrahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10139-51-2,N511,NITRATE COMPOUNDS,Cerium (IV) ammonium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10022-31-8,N511,NITRATE COMPOUNDS,Barium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7787-55-5,N511,NITRATE COMPOUNDS,"Beryllium nitrate, trihydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10325-94-7,N511,NITRATE COMPOUNDS,Cadmium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10022-68-1,N511,NITRATE COMPOUNDS,"Cadmium nitrate, tetrahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10124-37-5,N511,NITRATE COMPOUNDS,Calcium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13477-34-4,N511,NITRATE COMPOUNDS,"Calcium nitrate, tetrahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10294-41-4,N511,NITRATE COMPOUNDS,"Cerium (III) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7789-18-6,N511,NITRATE COMPOUNDS,Cesium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7789-02-8,N511,NITRATE COMPOUNDS,"Chromium (III) nitrate, nonahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10026-22-9,N511,NITRATE COMPOUNDS,"Cobalt (II) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10031-43-3,N511,NITRATE COMPOUNDS,"Copper (II) nitrate, trihydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13478-38-1,N511,NITRATE COMPOUNDS,"Copper (II) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10031-49-9,N511,NITRATE COMPOUNDS,"Dysprosium (III) nitrate, pentahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10031-51-3,N511,NITRATE COMPOUNDS,"Erbium (III) nitrate, pentahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
19598-90-4,N511,NITRATE COMPOUNDS,"Gadolinium (III) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
69365-72-6,N511,NITRATE COMPOUNDS,"Gallium nitrate, hydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13476-08-9,N511,NITRATE COMPOUNDS,"Iron (III) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7782-61-8,N511,NITRATE COMPOUNDS,"Iron (III) nitrate, nonahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10277-43-7,N511,NITRATE COMPOUNDS,"Lanthanum (III) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
10099-74-8,N511,NITRATE COMPOUNDS,Lead (II) nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7790-69-4,N511,NITRATE COMPOUNDS,Lithium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13453-76-4,N511,NITRATE COMPOUNDS,"Lithium nitrate, trihydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
15750-45-5,N511,NITRATE COMPOUNDS,"Magnesium nitrate, dihydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13446-18-9,N511,NITRATE COMPOUNDS,"Magnesium nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
20694-39-7,N511,NITRATE COMPOUNDS,"Manganese (II) nitrate, tetrahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
16454-60-7,N511,NITRATE COMPOUNDS,"Neodymium (III) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13478-00-7,N511,NITRATE COMPOUNDS,"Nickel (II) nitrate, hexahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7757-79-1,N511,NITRATE COMPOUNDS,Potassium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13465-43-5,N511,NITRATE COMPOUNDS,"Rhodium (III) nitrate, dihydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13126-12-0,N511,NITRATE COMPOUNDS,Rubidium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
13465-60-6,N511,NITRATE COMPOUNDS,Samarium (III) nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
16999-44-3,N511,NITRATE COMPOUNDS,"Samarium (III) nitrate, tetrahydrate",Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7761-88-8,N511,NITRATE COMPOUNDS,Silver nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
7631-99-4,N511,NITRATE COMPOUNDS,Sodium nitrate,Inorganic,https://ofmpub.epa.gov/apex/guideme_ext/f?p=guideme:gd:::::gd:nitrate_3
