SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
23630,Landfill (with prior treatment and/or stabilization),40
23630,Macro-encapsulation prior to disposal at another site,6
23630,Other Disposal,4
23630,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6
23630,Other treatment that does not include on-site disposal,11
23655,Chemical oxidation,1
23655,"Combination of chemical, biological and/or physical treatment",1
23655,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3
23655,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),10
23655,Incineration; thermal destruction other than use as a fuel,93
23655,Landfill (with prior treatment and/or stabilization),1
23655,Other treatment that does not include on-site disposal,3
23655,Solvents recovery,5
23663,Absorption,6
23663,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),41
23663,Incineration; thermal destruction other than use as a fuel,198
23663,Landfill (with prior treatment and/or stabilization),23
23663,Macro-encapsulation prior to disposal at another site,1
23663,Other Disposal,32
23663,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",7
23671,Absorption,7
23671,Chemical treatment (reduction / destruction / oxidation /precipitation),1
23671,"Combination of chemical, biological and/or physical treatment",1
23671,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),32
23671,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),24
23671,Incineration; thermal destruction other than use as a fuel,265
23671,Landfill (with prior treatment and/or stabilization),42
23671,Macro-encapsulation prior to disposal at another site,3
23671,Other Disposal,2
23671,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6
23671,Other treatment that does not include on-site disposal,11
23671,Solvents recovery,4
23671,Stabilization or chemical fixation prior to disposal at another site,2
23937,Deepwell or underground injection (with or without treatment),2
23937,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),78
23937,Incineration; thermal destruction other than use as a fuel,82
23937,Landfill (with prior treatment and/or stabilization),3
23937,Other Disposal,6
23937,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",8
23937,Other treatment that does not include on-site disposal,4
23945,Absorption,149
23945,Chemical reduction with or without precipitation,2
23945,Deepwell or underground injection (with or without treatment),58
23945,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),420
23945,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),72
23945,Incineration; thermal destruction other than use as a fuel,810
23945,Land treatment or application (with any prior treatment and/or stabilization),24
23945,Landfill (with prior treatment and/or stabilization),187
23945,Macro-encapsulation prior to disposal at another site,20
23945,Neutralization only,2
23945,Other Disposal,110
23945,Other chemical precipitation with or without pre-treatment,2
23945,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",47
23945,Other treatment that does not include on-site disposal,41
23945,Solvents recovery,3
23945,Stabilization or chemical fixation prior to disposal at another site,2
23945,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
23986,Absorption,11
23986,"Combination of chemical, biological and/or physical treatment",1
23986,Deepwell or underground injection (with or without treatment),4
23986,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
23986,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),50
23986,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),4
23986,Incineration; thermal destruction other than use as a fuel,440
23986,Land treatment or application (with any prior treatment and/or stabilization),7
23986,Landfill (with prior treatment and/or stabilization),104
23986,Macro-encapsulation prior to disposal at another site,16
23986,Neutralization only,1
23986,Other Disposal,21
23986,Other chemical precipitation with or without pre-treatment,2
23986,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",39
23986,Other treatment that does not include on-site disposal,42
23986,Stabilization or chemical fixation prior to disposal at another site,2
23994,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),65
23994,Incineration; thermal destruction other than use as a fuel,55
23994,Landfill (with prior treatment and/or stabilization),5
23994,Macro-encapsulation prior to disposal at another site,1
23994,Other Disposal,22
23994,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",41
24042,Absorption,143
24042,Deepwell or underground injection (with or without treatment),16
24042,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),476
24042,Incineration; thermal destruction other than use as a fuel,870
24042,Landfill (with prior treatment and/or stabilization),186
24042,Macro-encapsulation prior to disposal at another site,16
24042,Other Disposal,40
24042,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",122
24042,Other treatment that does not include on-site disposal,14
24075,Absorption,25
24075,Chemical treatment (reduction / destruction / oxidation /precipitation),1
24075,"Combination of chemical, biological and/or physical treatment",3
24075,Deepwell or underground injection (with or without treatment),10
24075,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),154
24075,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),19
24075,Incineration; thermal destruction other than use as a fuel,600
24075,Landfill (with prior treatment and/or stabilization),11
24075,Macro-encapsulation prior to disposal at another site,2
24075,"Metals recovery including retorting, smelting, chemical, etc.",2
24075,Other Disposal,10
24075,Other chemical precipitation with or without pre-treatment,2
24075,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
24075,Other treatment that does not include on-site disposal,9
24075,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),1
24075,Solvents recovery,3
24075,Stabilization or chemical fixation prior to disposal at another site,3
24109,Absorption,76
24109,Deepwell or underground injection (with or without treatment),14
24109,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),158
24109,Incineration; thermal destruction other than use as a fuel,295
24109,Landfill (with prior treatment and/or stabilization),43
24109,Macro-encapsulation prior to disposal at another site,5
24109,Other Disposal,34
24109,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",25
24109,Other treatment that does not include on-site disposal,6
24117,Absorption,229
24117,Adsorption,2
24117,Biological treatment,9
24117,Chemical oxidation,11
24117,Chemical reduction with or without precipitation,5
24117,Chemical treatment (reduction / destruction / oxidation /precipitation),7
24117,"Combination of chemical, biological and/or physical treatment",2
24117,Deepwell or underground injection (with or without treatment),88
24117,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),12
24117,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),634
24117,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),250
24117,Incineration; thermal destruction other than use as a fuel,2677
24117,Land treatment or application (with any prior treatment and/or stabilization),3
24117,Landfill (with prior treatment and/or stabilization),527
24117,Macro-encapsulation prior to disposal at another site,34
24117,"Metals recovery including retorting, smelting, chemical, etc.",5
24117,Neutralization only,3
24117,Other Disposal,165
24117,Other chemical precipitation with or without pre-treatment,9
24117,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",249
24117,Other treatment that does not include on-site disposal,110
24117,Phase separation,2
24117,Solvents recovery,22
24117,Stabilization or chemical fixation prior to disposal at another site,24
24117,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
24158,"Combination of chemical, biological and/or physical treatment",1
24158,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
24158,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),8
24158,Incineration; thermal destruction other than use as a fuel,56
24158,Solvents recovery,2
24166,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),9
24166,Incineration; thermal destruction other than use as a fuel,3
24166,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
24174,Deepwell or underground injection (with or without treatment),2
24174,Incineration; thermal destruction other than use as a fuel,53
24174,Neutralization only,1
24182,Absorption,157
24182,Adsorption,2
24182,Biological treatment,7
24182,Chemical oxidation,2
24182,Chemical treatment (reduction / destruction / oxidation /precipitation),2
24182,"Combination of chemical, biological and/or physical treatment",2
24182,Deepwell or underground injection (with or without treatment),33
24182,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
24182,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),756
24182,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),79
24182,Incineration; thermal destruction other than use as a fuel,1944
24182,Land treatment or application (with any prior treatment and/or stabilization),31
24182,Landfill (with prior treatment and/or stabilization),363
24182,Macro-encapsulation prior to disposal at another site,64
24182,"Metals recovery including retorting, smelting, chemical, etc.",2
24182,Other Disposal,48
24182,Other chemical precipitation with or without pre-treatment,2
24182,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",55
24182,Other treatment that does not include on-site disposal,78
24182,Solvents recovery,8
24182,Stabilization or chemical fixation prior to disposal at another site,3
24182,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
24224,Absorption,62
24224,"Combination of chemical, biological and/or physical treatment",3
24224,Deepwell or underground injection (with or without treatment),36
24224,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
24224,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),200
24224,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),13
24224,Incineration; thermal destruction other than use as a fuel,709
24224,Landfill (with prior treatment and/or stabilization),54
24224,Macro-encapsulation prior to disposal at another site,6
24224,Neutralization only,2
24224,Other Disposal,27
24224,Other chemical precipitation with or without pre-treatment,2
24224,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",13
24224,Other treatment that does not include on-site disposal,19
24224,Solvents recovery,1
24224,Stabilization or chemical fixation prior to disposal at another site,1
24232,Absorption,3
24232,"Combination of chemical, biological and/or physical treatment",2
24232,Deepwell or underground injection (with or without treatment),26
24232,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),90
24232,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),7
24232,Incineration; thermal destruction other than use as a fuel,293
24232,Landfill (with prior treatment and/or stabilization),69
24232,Macro-encapsulation prior to disposal at another site,6
24232,Other Disposal,36
24232,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",16
24232,Other treatment that does not include on-site disposal,28
24240,"Combination of chemical, biological and/or physical treatment",2
24240,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
24240,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),4
24240,Incineration; thermal destruction other than use as a fuel,124
24240,Neutralization only,1
24240,Solvents recovery,1
24240,Stabilization or chemical fixation prior to disposal at another site,1
24257,Absorption,2935
24257,Deepwell or underground injection (with or without treatment),515
24257,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),6737
24257,Incineration; thermal destruction other than use as a fuel,5745
24257,Land treatment or application (with any prior treatment and/or stabilization),66
24257,Landfill (with prior treatment and/or stabilization),2551
24257,Macro-encapsulation prior to disposal at another site,1048
24257,"Metals recovery including retorting, smelting, chemical, etc.",4
24257,Other Disposal,1933
24257,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6099
24257,Other treatment that does not include on-site disposal,1261
24257,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),33
24299,Absorption,3
24299,"Combination of chemical, biological and/or physical treatment",2
24299,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
24299,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
24299,Incineration; thermal destruction other than use as a fuel,161
24299,Landfill (with prior treatment and/or stabilization),13
24299,Other Disposal,1
24299,Other chemical precipitation with or without pre-treatment,3
24422,Incineration; thermal destruction other than use as a fuel,4
24422,Landfill (with prior treatment and/or stabilization),2
24828,Absorption,233
24828,Deepwell or underground injection (with or without treatment),49
24828,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1895
24828,Incineration; thermal destruction other than use as a fuel,1820
24828,Land treatment or application (with any prior treatment and/or stabilization),8
24828,Landfill (with prior treatment and/or stabilization),536
24828,Macro-encapsulation prior to disposal at another site,210
24828,Other Disposal,188
24828,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",179
24828,Other treatment that does not include on-site disposal,137
24828,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),4
24851,Absorption,844
24851,Adsorption,2
24851,Biological treatment,3
24851,Chemical reduction with or without precipitation,2
24851,Chemical treatment (reduction / destruction / oxidation /precipitation),1
24851,Deepwell or underground injection (with or without treatment),105
24851,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),15374
24851,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),164
24851,Incineration; thermal destruction other than use as a fuel,7763
24851,Land treatment or application (with any prior treatment and/or stabilization),12
24851,Landfill (with prior treatment and/or stabilization),864
24851,Macro-encapsulation prior to disposal at another site,239
24851,"Metals recovery including retorting, smelting, chemical, etc.",8
24851,Neutralization only,1
24851,Other Disposal,1194
24851,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",5019
24851,Other treatment that does not include on-site disposal,1185
24851,Solvents recovery,18
24851,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
25015,Absorption,167
25015,Biological treatment,1
25015,Chemical reduction with or without precipitation,3
25015,"Combination of chemical, biological and/or physical treatment",3
25015,Deepwell or underground injection (with or without treatment),147
25015,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),6
25015,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),860
25015,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),114
25015,Incineration; thermal destruction other than use as a fuel,2018
25015,Land treatment or application (with any prior treatment and/or stabilization),2
25015,Landfill (with prior treatment and/or stabilization),438
25015,Macro-encapsulation prior to disposal at another site,65
25015,"Metals recovery including retorting, smelting, chemical, etc.",1
25015,Neutralization only,8
25015,Other Disposal,158
25015,Other chemical precipitation with or without pre-treatment,4
25015,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",40
25015,Other treatment that does not include on-site disposal,66
25015,Solvents recovery,2
25015,Stabilization or chemical fixation prior to disposal at another site,11
25015,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),3
25056,Absorption,48
25056,Deepwell or underground injection (with or without treatment),16
25056,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),387
25056,Incineration; thermal destruction other than use as a fuel,570
25056,Land treatment or application (with any prior treatment and/or stabilization),2
25056,Landfill (with prior treatment and/or stabilization),264
25056,Macro-encapsulation prior to disposal at another site,11
25056,"Metals recovery including retorting, smelting, chemical, etc.",2
25056,Other Disposal,68
25056,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",198
25056,Other treatment that does not include on-site disposal,35
25056,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),2
25064,Absorption,50
25064,Biological treatment,4
25064,Chemical oxidation,2
25064,"Combination of chemical, biological and/or physical treatment",2
25064,Deepwell or underground injection (with or without treatment),44
25064,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),4
25064,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),281
25064,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),37
25064,Incineration; thermal destruction other than use as a fuel,589
25064,Landfill (with prior treatment and/or stabilization),124
25064,Macro-encapsulation prior to disposal at another site,8
25064,"Metals recovery including retorting, smelting, chemical, etc.",5
25064,Neutralization only,1
25064,Other Disposal,22
25064,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",56
25064,Other treatment that does not include on-site disposal,50
25064,Stabilization or chemical fixation prior to disposal at another site,2
25064,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),3
25122,Absorption,13
25122,Deepwell or underground injection (with or without treatment),2
25122,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),39
25122,Incineration; thermal destruction other than use as a fuel,209
25122,Landfill (with prior treatment and/or stabilization),34
25122,Macro-encapsulation prior to disposal at another site,15
25122,Other Disposal,6
25122,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",10
25122,Other treatment that does not include on-site disposal,1
25130,Chemical reduction with or without precipitation,2
25130,Chemical treatment (reduction / destruction / oxidation /precipitation),3
25130,"Combination of chemical, biological and/or physical treatment",2
25130,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),11
25130,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),73
25130,Incineration; thermal destruction other than use as a fuel,314
25130,Landfill (with prior treatment and/or stabilization),5
25130,"Metals recovery including retorting, smelting, chemical, etc.",1
25130,Other chemical precipitation with or without pre-treatment,3
25130,Other treatment that does not include on-site disposal,8
25130,Solvents recovery,5
25130,Stabilization or chemical fixation prior to disposal at another site,3
25213,Absorption,2
25213,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),15
25213,Incineration; thermal destruction other than use as a fuel,16
25213,Landfill (with prior treatment and/or stabilization),1
25213,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
25361,Deepwell or underground injection (with or without treatment),2
25361,Incineration; thermal destruction other than use as a fuel,6
25361,Landfill (with prior treatment and/or stabilization),9
25361,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
25361,Other treatment that does not include on-site disposal,1
25452,Absorption,3931
25452,Adsorption,8
25452,Biological treatment,9
25452,Chemical oxidation,6
25452,Chemical reduction with or without precipitation,10
25452,Chemical treatment (reduction / destruction / oxidation /precipitation),4
25452,"Combination of chemical, biological and/or physical treatment",4
25452,Deepwell or underground injection (with or without treatment),792
25452,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),7
25452,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),49224
25452,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),678
25452,Incineration; thermal destruction other than use as a fuel,34678
25452,Land treatment or application (with any prior treatment and/or stabilization),160
25452,Landfill (with prior treatment and/or stabilization),7012
25452,Macro-encapsulation prior to disposal at another site,1009
25452,"Metals recovery including retorting, smelting, chemical, etc.",153
25452,Neutralization only,8
25452,Other Disposal,6033
25452,Other chemical precipitation with or without pre-treatment,8
25452,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",16865
25452,Other treatment that does not include on-site disposal,3512
25452,Phase separation,3
25452,Solvents recovery,90
25452,Stabilization or chemical fixation prior to disposal at another site,17
25452,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),2
25452,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),46
25478,Absorption,224
25478,Adsorption,2
25478,Biological treatment,6
25478,Chemical reduction with or without precipitation,2
25478,"Combination of chemical, biological and/or physical treatment",2
25478,Deepwell or underground injection (with or without treatment),28
25478,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),14
25478,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1047
25478,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),147
25478,Incineration; thermal destruction other than use as a fuel,2545
25478,Land treatment or application (with any prior treatment and/or stabilization),1
25478,Landfill (with prior treatment and/or stabilization),333
25478,Macro-encapsulation prior to disposal at another site,21
25478,Other Disposal,125
25478,Other chemical precipitation with or without pre-treatment,2
25478,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",230
25478,Other treatment that does not include on-site disposal,166
25478,Phase separation,1
25478,Solvents recovery,17
25478,Stabilization or chemical fixation prior to disposal at another site,5
25478,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
25478,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
25494,Absorption,43
25494,Deepwell or underground injection (with or without treatment),16
25494,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),227
25494,Incineration; thermal destruction other than use as a fuel,194
25494,Landfill (with prior treatment and/or stabilization),63
25494,Macro-encapsulation prior to disposal at another site,4
25494,Other Disposal,32
25494,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",24
25494,Other treatment that does not include on-site disposal,24
25502,Chemical reduction with or without precipitation,5
25502,"Combination of chemical, biological and/or physical treatment",2
25502,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),14
25502,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),236
25502,Incineration; thermal destruction other than use as a fuel,144
25502,Landfill (with prior treatment and/or stabilization),1
25502,Other treatment that does not include on-site disposal,3
25502,Solvents recovery,7
25502,Stabilization or chemical fixation prior to disposal at another site,2
25502,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
25510,Absorption,1310
25510,Adsorption,1
25510,Air or steam stripping,6
25510,Biological treatment,8
25510,Chemical oxidation,3
25510,Chemical reduction with or without precipitation,6
25510,Chemical treatment (reduction / destruction / oxidation /precipitation),6
25510,"Combination of chemical, biological and/or physical treatment",5
25510,Deepwell or underground injection (with or without treatment),375
25510,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),5
25510,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3659
25510,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),402
25510,Incineration; thermal destruction other than use as a fuel,6845
25510,Land treatment or application (with any prior treatment and/or stabilization),50
25510,Landfill (with prior treatment and/or stabilization),3145
25510,Macro-encapsulation prior to disposal at another site,447
25510,"Metals recovery including retorting, smelting, chemical, etc.",19
25510,Neutralization only,15
25510,Other Disposal,642
25510,Other chemical precipitation with or without pre-treatment,10
25510,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",931
25510,Other treatment that does not include on-site disposal,529
25510,Phase separation,1
25510,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),1
25510,Solvents recovery,22
25510,Stabilization or chemical fixation prior to disposal at another site,36
25510,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),5
25510,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),20
25536,Chemical treatment (reduction / destruction / oxidation /precipitation),1
25536,"Combination of chemical, biological and/or physical treatment",1
25536,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
25536,Incineration; thermal destruction other than use as a fuel,256
25536,Landfill (with prior treatment and/or stabilization),3
25536,Other chemical precipitation with or without pre-treatment,2
25536,Other treatment that does not include on-site disposal,3
25536,Stabilization or chemical fixation prior to disposal at another site,1
25601,Absorption,4
25601,Chemical reduction with or without precipitation,1
25601,Deepwell or underground injection (with or without treatment),6
25601,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),61
25601,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),6
25601,Incineration; thermal destruction other than use as a fuel,151
25601,Landfill (with prior treatment and/or stabilization),76
25601,Macro-encapsulation prior to disposal at another site,4
25601,"Metals recovery including retorting, smelting, chemical, etc.",1
25601,Other Disposal,14
25601,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",11
25601,Other treatment that does not include on-site disposal,8
26120,Absorption,4
26120,Chemical treatment (reduction / destruction / oxidation /precipitation),2
26120,Deepwell or underground injection (with or without treatment),3
26120,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),6
26120,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
26120,Incineration; thermal destruction other than use as a fuel,114
26120,Landfill (with prior treatment and/or stabilization),36
26120,Macro-encapsulation prior to disposal at another site,4
26120,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6
26120,Other treatment that does not include on-site disposal,11
26120,Stabilization or chemical fixation prior to disposal at another site,1
26211,Absorption,55
26211,Deepwell or underground injection (with or without treatment),19
26211,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),470
26211,Incineration; thermal destruction other than use as a fuel,446
26211,Land treatment or application (with any prior treatment and/or stabilization),3
26211,Landfill (with prior treatment and/or stabilization),66
26211,Macro-encapsulation prior to disposal at another site,4
26211,Other Disposal,55
26211,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",68
26211,Other treatment that does not include on-site disposal,27
26310,Adsorption,1
26310,Biological treatment,1
26310,Chemical reduction with or without precipitation,6
26310,"Combination of chemical, biological and/or physical treatment",3
26310,Deepwell or underground injection (with or without treatment),2
26310,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),16
26310,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),291
26310,Incineration; thermal destruction other than use as a fuel,530
26310,Landfill (with prior treatment and/or stabilization),2
26310,"Metals recovery including retorting, smelting, chemical, etc.",3
26310,Neutralization only,6
26310,Other chemical precipitation with or without pre-treatment,4
26310,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
26310,Other treatment that does not include on-site disposal,10
26310,Solvents recovery,61
26310,Stabilization or chemical fixation prior to disposal at another site,2
26328,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
26328,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),6
26328,Incineration; thermal destruction other than use as a fuel,49
26328,Landfill (with prior treatment and/or stabilization),14
26328,Macro-encapsulation prior to disposal at another site,4
26328,Neutralization only,1
26328,Other treatment that does not include on-site disposal,12
26740,Absorption,892
26740,Deepwell or underground injection (with or without treatment),113
26740,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),8166
26740,Incineration; thermal destruction other than use as a fuel,6059
26740,Land treatment or application (with any prior treatment and/or stabilization),17
26740,Landfill (with prior treatment and/or stabilization),1607
26740,Macro-encapsulation prior to disposal at another site,109
26740,"Metals recovery including retorting, smelting, chemical, etc.",26
26740,Other Disposal,1857
26740,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2996
26740,Other treatment that does not include on-site disposal,443
26740,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),4
26765,Landfill (with prior treatment and/or stabilization),1
26948,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
26948,Incineration; thermal destruction other than use as a fuel,10
26948,Neutralization only,1
26989,Absorption,38
26989,Deepwell or underground injection (with or without treatment),14
26989,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),424
26989,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),53
26989,Incineration; thermal destruction other than use as a fuel,519
26989,Landfill (with prior treatment and/or stabilization),141
26989,Macro-encapsulation prior to disposal at another site,23
26989,Other Disposal,52
26989,Other chemical precipitation with or without pre-treatment,2
26989,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",72
26989,Other treatment that does not include on-site disposal,67
26989,Solvents recovery,1
27003,Absorption,488
27003,Adsorption,1
27003,Biological treatment,1
27003,Chemical reduction with or without precipitation,1
27003,"Combination of chemical, biological and/or physical treatment",1
27003,Deepwell or underground injection (with or without treatment),90
27003,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),4125
27003,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),173
27003,Incineration; thermal destruction other than use as a fuel,4329
27003,Land treatment or application (with any prior treatment and/or stabilization),38
27003,Landfill (with prior treatment and/or stabilization),1225
27003,Macro-encapsulation prior to disposal at another site,92
27003,"Metals recovery including retorting, smelting, chemical, etc.",26
27003,Other Disposal,605
27003,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1312
27003,Other treatment that does not include on-site disposal,254
27003,Solvents recovery,2
27003,Stabilization or chemical fixation prior to disposal at another site,1
27003,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),4
27037,Absorption,124
27037,Biological treatment,9
27037,Chemical oxidation,6
27037,Chemical reduction with or without precipitation,6
27037,Chemical treatment (reduction / destruction / oxidation /precipitation),5
27037,"Combination of chemical, biological and/or physical treatment",3
27037,Cyanide destruction with or without precipitation,1
27037,Deepwell or underground injection (with or without treatment),35
27037,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),8
