SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
3632,Deepwell or underground injection (with or without treatment),48
3632,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
3632,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),474
3632,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),119
3632,Incineration; thermal destruction other than use as a fuel,1604
3632,Land treatment or application (with any prior treatment and/or stabilization),4
3632,Landfill (with prior treatment and/or stabilization),332
3632,Macro-encapsulation prior to disposal at another site,27
3632,Neutralization only,3
3632,Other Disposal,100
3632,Other chemical precipitation with or without pre-treatment,7
3632,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",56
3632,Other treatment that does not include on-site disposal,39
3632,Settling or clarification,1
3632,Solvents recovery,8
3632,Stabilization or chemical fixation prior to disposal at another site,5
3632,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
3657,Absorption,4
3657,Chemical reduction with or without precipitation,1
3657,"Combination of chemical, biological and/or physical treatment",1
3657,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),13
3657,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),9
3657,Incineration; thermal destruction other than use as a fuel,181
3657,Land treatment or application (with any prior treatment and/or stabilization),1
3657,Landfill (with prior treatment and/or stabilization),32
3657,Neutralization only,2
3657,Other Disposal,6
3657,Other chemical precipitation with or without pre-treatment,2
3657,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
3657,Other treatment that does not include on-site disposal,10
3657,Solvents recovery,1
3657,Stabilization or chemical fixation prior to disposal at another site,1
3665,Absorption,45
3665,Chemical oxidation,1
3665,Chemical reduction with or without precipitation,4
3665,"Combination of chemical, biological and/or physical treatment",2
3665,Deepwell or underground injection (with or without treatment),3
3665,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),33
3665,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),41
3665,Incineration; thermal destruction other than use as a fuel,327
3665,Land treatment or application (with any prior treatment and/or stabilization),3
3665,Landfill (with prior treatment and/or stabilization),78
3665,Macro-encapsulation prior to disposal at another site,25
3665,"Metals recovery including retorting, smelting, chemical, etc.",3
3665,Neutralization only,4
3665,Other Disposal,27
3665,Other chemical precipitation with or without pre-treatment,2
3665,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",11
3665,Other treatment that does not include on-site disposal,31
3665,Solvents recovery,3
3665,Stabilization or chemical fixation prior to disposal at another site,2
3681,Absorption,7
3681,Deepwell or underground injection (with or without treatment),5
3681,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),22
3681,Incineration; thermal destruction other than use as a fuel,80
3681,Landfill (with prior treatment and/or stabilization),26
3681,Macro-encapsulation prior to disposal at another site,1
3681,Other Disposal,3
3681,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6
3681,Other treatment that does not include on-site disposal,2
3699,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
3699,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
3699,Incineration; thermal destruction other than use as a fuel,47
3699,Landfill (with prior treatment and/or stabilization),1
3699,Stabilization or chemical fixation prior to disposal at another site,1
3707,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3
3707,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
3707,Incineration; thermal destruction other than use as a fuel,74
3707,Landfill (with prior treatment and/or stabilization),2
3707,"Metals recovery including retorting, smelting, chemical, etc.",1
3707,Neutralization only,1
3723,Absorption,41
3723,Chemical reduction with or without precipitation,3
3723,Chemical treatment (reduction / destruction / oxidation /precipitation),1
3723,"Combination of chemical, biological and/or physical treatment",1
3723,Deepwell or underground injection (with or without treatment),13
3723,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
3723,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),18
3723,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),46
3723,Incineration; thermal destruction other than use as a fuel,781
3723,Landfill (with prior treatment and/or stabilization),72
3723,Macro-encapsulation prior to disposal at another site,3
3723,Neutralization only,2
3723,Other Disposal,19
3723,Other chemical precipitation with or without pre-treatment,3
3723,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
3723,Other treatment that does not include on-site disposal,12
3723,Phase separation,1
3723,Stabilization or chemical fixation prior to disposal at another site,5
3723,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
3780,Incineration; thermal destruction other than use as a fuel,2
3830,Absorption,204
3830,Adsorption,1
3830,Air or steam stripping,1
3830,Biological treatment,1
3830,Chemical reduction with or without precipitation,6
3830,Chemical treatment (reduction / destruction / oxidation /precipitation),3
3830,"Combination of chemical, biological and/or physical treatment",4
3830,Deepwell or underground injection (with or without treatment),55
3830,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),4
3830,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),387
3830,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),139
3830,Incineration; thermal destruction other than use as a fuel,1731
3830,Land treatment or application (with any prior treatment and/or stabilization),5
3830,Landfill (with prior treatment and/or stabilization),306
3830,Macro-encapsulation prior to disposal at another site,64
3830,"Metals recovery including retorting, smelting, chemical, etc.",2
3830,Neutralization only,59
3830,Other Disposal,200
3830,Other chemical precipitation with or without pre-treatment,15
3830,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",60
3830,Other treatment that does not include on-site disposal,155
3830,Solvents recovery,2
3830,Stabilization or chemical fixation prior to disposal at another site,18
3830,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),9
3889,Absorption,13
3889,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),18
3889,Incineration; thermal destruction other than use as a fuel,41
3889,Landfill (with prior treatment and/or stabilization),18
3889,Macro-encapsulation prior to disposal at another site,1
3889,Other Disposal,9
