TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
30680LKRLCINDUS,123911,1.0,,,,,1999
03874BLYMN700LA,78933,1.02,,,,,1999
70734RBCNN9156H,62533,1.01,,,,,1999
49423QLTYL630OT,100414,1.04,,,,,1999
68701MDMRC805OM,7697372,1.0,,,,,1999
53527STNLSRTE2B,N495,0.95,,,,,1999
08872NWJRSNORTH,7439921,0.89,,,,,1999
48060CHSNC1600W,108101,0.87,,,,,1999
19146TRGNP2600A,108883,0.0,,,,,1999
67357RSKNM1700N,7439921,1.05,,,,,1999
50704JHNDR3801W,N090,0.57,,,,,1999
68847TNCRP4200E,7440473,1.16,,,,,1999
08873WMZNS39BEL,107211,0.97,,,,,1999
17868MRCKC100AV,75058,0.33,,,,,1999
19124KYCHM4346T,7632000,1.4,,,,,1999
48667THDWCMICHI,7664417,1.16,,,,,1999
35077LSNPC902MA,75070,0.96,,,,,1999
48667THDWCMICHI,107062,1.0,,,,,1999
19061SNRFNGREEN,N010,1.03,,,,,1999
44139CKSTR29525,108883,1.2,,,,,1999
20640SDDND101ST,7697372,0.38,,,,,1999
08818FRDMT939US,1330207,1.12,,,,,1999
48867MTRPR201SD,7440020,1.15,,,,,1999
30354FRDMT340HE,71432,0.95,,,,,1999
32226STJHN11201,N020,1.0,,,,,1999
98188RDDTC495AN,79016,0.39,,,,,1999
70821STFFRAIRLI,74873,1.05,,,,,1999
72701SPRRN1901C,N090,1.62,,,,,1999
38326TNNSSHIGHW,74873,1.02,,,,,1999
29902LPRDS224PA,7664417,1.22,,,,,1999
15931BNSBR2840N,N010,1.01,,,,,1999
60007THRJS701LA,N982,1.18,,,,,1999
45103FRDMT1981F,N511,0.99,,,,,1999
37388TNNSS915NA,64186,99.0,,,,,1999
37303THNSF909NJ,78933,1.02,,,,,1999
60613RMRCX1810W,127184,1.26,,,,,1999
70634WSTVCPOBOX,71363,0.0,,,,,1999
32208SCMGL601CR,7664417,0.97,,,,,1999
49707BTBPR416FO,7664417,1.01,,,,,1999
54915CCMPR401ES,7440484,0.85,,,,,1999
64119FRDMTHWY69,872504,0.92,,,,,1999
90061TSCLS13500,71432,1.35,,,,,1999
16801RTGRS201ST,1330207,0.31,,,,,1999
83338DRGLD1703S,N511,0.0,,,,,1999
