TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
33634SHLND5125W,67561,0.48,,,,,2008
75042MCRNN369MA,7697372,0.85,,,,,2008
59101XXNBL700EX,108883,1.01,,,,,2008
71822NKSPPHIGHW,N770,0.94,,,,,2008
46725STLDY2601C,N420,0.94,,,,,2008
02150CHLSS11BRO,110543,0.63,,,,,2008
55428VTCFN9101S,7697372,0.95,,,,,2008
92508RVRSD1500R,7439976,1.01,,,,,2008
45804SHLCM1150S,106990,0.97,,,,,2008
33316MTVPR12SE2,N590,0.97,,,,,2008
55106VLTXC1125C,7697372,0.86,,,,,2008
33610PCFLR6701E,N590,0.99,,,,,2008
45215SWBRKSHEPH,7439965,1.01,,,,,2008
43229LBRTC1050D,7440473,0.84,,,,,2008
72117KPPRS2201E,191242,0.89,,,,,2008
66536JFFRY25905,N458,0.89,,,,,2008
46135LNSTRPUTNA,100414,0.94,,,,,2008
23860STNHP910IN,N590,0.9,,,,,2008
08014MNSNTROUTE,75003,0.99,,,,,2008
43935LSCMR100PI,7439921,1.15,,,,,2008
71836SHGRVPOBOX,100414,0.96,,,,,2008
14048NGRMH106PO,7440020,1.13,,,,,2008
14048NGRMH106PO,N590,1.13,,,,,2008
61554RCNDSCORNE,7664417,1.0,,,,,2008
31715NGLHRDEPOT,7664417,1.03,,,,,2008
48015MDWST23860,N982,0.85,,,,,2008
80524WHTCP334SS,7439965,1.37,,,,,2008
23860GLDSC914ER,75569,1.08,,,,,2008
77640TXCRFNORTH,N096,0.97,,,,,2008
26285LLGHNCUNTY,N420,0.72,,,,,2008
26330PRTTWBENED,N090,1.07,,,,,2008
70057WTCCRRIVER,7439921,0.89,,,,,2008
06852KNGNDSCIEN,7440393,0.78,,,,,2008
08066JHNSN2001A,7664417,0.86,,,,,2008
01605MRGNC40CRE,191242,0.5,,,,,2008
59101XXNBL700EX,N150,1.01,,,,,2008
01040MTTMSRTE5S,N420,0.94,,,,,2008
29730BSFST800CE,80626,1.1,,,,,2008
81656LFRGW3000R,N511,0.53,,,,,2008
11742PRDSL6LONG,108883,1.25,,,,,2008
92683STNDR7591H,N420,1.01,,,,,2008
33056BFGDR3201N,79016,2.08,,,,,2008
76106VLKSW4401B,7440020,0.87,,,,,2008
60101RLLPR320ST,108883,1.18,,,,,2008
02151GLBLP140LE,N420,0.69,,,,,2008
38901NWSPRPAPER,N150,0.7,,,,,2008
63336DNDCMPOBOX,1330207,0.73,,,,,2008
55069PLSTC920SF,79947,0.37,,,,,2008
71836SHGRVPOBOX,N420,0.96,,,,,2008
62634LKHRTELKHA,N495,0.84,,,,,2008
21795GNRLPINDUS,108883,0.38,,,,,2008
07657BRGNGVICTO,7664417,1.08,,,,,2008
14213WSTWD100FO,N590,0.63,,,,,2008
63111RHNPL133EK,59669260,0.87,,,,,2008
00688MRCKSRD2KM,91203,1.17,,,,,2008
29651BMWMN1400H,7697372,1.08,,,,,2008
87421SNJNGCOUNT,N420,0.95,,,,,2008
08014MNSNTROUTE,108883,0.99,,,,,2008
71220NTRNT705CO,10049044,0.9,,,,,2008
71220NTRNT705CO,1319773,0.9,,,,,2008
49548PRMLT5252C,N511,1.25,,,,,2008
79905LPSRF6500T,7439921,0.96,,,,,2008
62634LKHRTELKHA,N770,0.84,,,,,2008
29512WLLMTHWY91,67561,1.0,,,,,2008
48054DTRTD4505K,N495,1.09,,,,,2008
48054DTRTD4505K,N590,0.74,,,,,2008
90509MBLLC3700W,7664393,1.29,,,,,2008
18848DPNTTRD1BO,872504,0.83,,,,,2008
77868NTRSTINTER,7440020,1.4,,,,,2008
47905GYPTN555SA,108883,0.81,,,,,2008
35259MYFLD18WES,7439921,79.9,,,,,2008
46231CRRRC7310W,7439921,0.9,,,,,2008
29504FLVRC1100S,7697372,0.99,,,,,2008
19706TXCDL2000W,115071,0.76,,,,,2008
76567SNDWS7MISW,N725,0.84,,,,,2008
50010CTYFM200E5,N150,0.95,,,,,2008
60434MBLJLINTER,106990,1.08,,,,,2008
89803BLDMN70MIL,N100,1.05,,,,,2008
90509HSHRC2600S,7440020,1.05,,,,,2008
4576WMPRLL345SY,7440508,0.83,,,,,2008
