PRIMARY NAICS CODE,TRIFID,REPORTING YEAR,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,FLOW
331110,46402SSGRYONENO,1987,Other landfills,kg,108952,40.369688
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,N040,113.398
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,91203,9979.024
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,7664417,1542212.8
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,7647010,27895.908
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,71432,2630.8336
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,108952,680388.0
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,N090,113.398
331110,46304BTHLHBURNS,1987,Other landfills,kg,N982,15422.128
331110,46304BTHLHBURNS,1987,Other landfills,kg,N450,145603.032
331110,46304BTHLHBURNS,1987,Other landfills,kg,N420,43544.832
331110,46304BTHLHBURNS,1987,Other landfills,kg,N090,5443.104
331110,46304BTHLHBURNS,1987,Other landfills,kg,N040,113.398
331110,46304BTHLHBURNS,1987,Other landfills,kg,1344281,377842.136
331110,46304BTHLHBURNS,1987,Other landfills,kg,108952,340.194
331110,46304BTHLHBURNS,1987,Other landfills,kg,N495,952.5432
331110,61081NRTHW121WA,1987,Other landfills,kg,N982,453592.0
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,N100,113.398
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,N420,113.398
331110,46312NLNDS3210W,1987,Underground injection to class i wells,kg,7664939,113.398
331110,46312NLNDS3210W,1987,Underground injection to class i wells,kg,7647010,5443104.0
331110,46312NLNDS3210W,1987,Other landfills,kg,N982,19958.048
331110,46312NLNDS3210W,1987,Other landfills,kg,N495,952.5432
331110,46312NLNDS3210W,1987,Other landfills,kg,N450,4989512.0
331110,46312NLNDS3210W,1987,Other landfills,kg,N420,281227.04
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,N106,13154.168
331110,46312NLNDS3210W,1987,Other landfills,kg,N100,11339.8
331110,46312NLNDS3210W,1987,Other landfills,kg,1344281,33565808.0
331110,46312LTVST3001D,1987,Other landfills,kg,7664417,0.453592
331110,46312LTVST3001D,1987,Other landfills,kg,7440360,680.388
331110,46312LTVST3001D,1987,Other landfills,kg,7429905,86182.48
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,N982,113.398
331110,46304BTHLHBURNS,1987,Underground injection to class i wells,kg,N495,113.398
331110,46312NLNDS3210W,1987,Other landfills,kg,N090,199580.48
331110,46241CLDMT2301S,1987,Underground injection to class i wells,kg,7664939,0.226796
331110,61327LTVSTRTS18,1987,Underground injection to class i wells,kg,7647010,1224698.4
331110,62040GRNTC20THS,1987,Other landfills,kg,107211,714.4073999999999
331110,78156STRCTPOBOX,1987,Other landfills,kg,N982,122469.84
331110,84057GNVST1600W,1987,Other landfills,kg,1344281,357988.41416
331110,92335CLFRN14000,1987,Other landfills,kg,7647010,0.226796
331110,92335CLFRN14000,1987,Underground injection to class i wells,kg,7647010,0.226796
