TRI_CHEM_ID,Name,Molecular Mass,ΔcH°gas,ΔcH°gas - Units,ΔcH°liquid,ΔcH°liquid - Units,ΔcH°solid,ΔcH°solid - Units,Boiling Point,Boiling Point - Units,Melting Point,Melting Point - Units,IE,IE - Units,Proton affinity,Proton affinity - Units,Gas basicity,Gas basicity - Units,Source,Consulted Date
75558,"Aziridine, 2-methyl-",57.0944,,,,,,,339.7,K,215.15,K,,,925.1,kJ/mol,892.1,kJ/mol,https://webbook.nist.gov/,10_10_2019
75569,Propylene oxide,58.0791,,,-1885,kJ/mol,,,307.9,K,161.25,K,10.22,eV,803.3,kJ/mol,772.7,kJ/mol,https://webbook.nist.gov/,10_10_2019
75638,Bromotrifluoromethane,148.91,,,,,,,215.3,K,98.47,K,11.4,eV,580,kJ/mol,550.3,kJ/mol,https://webbook.nist.gov/,10_10_2019
75650,"2-Propanol, 2-methyl-",74.1216,,,-2644,kJ/mol,-2633,kJ/mol,355.5,K,298.3,K,9.9,eV,802.6,kJ/mol,772.2,kJ/mol,https://webbook.nist.gov/,10_10_2019
75683,"Ethane, 1-chloro-1,1-difluoro-",100.495,,,,,,,263.55,K,,,,,,,,,https://webbook.nist.gov/,10_10_2019
75694,Trichloromonofluoromethane,137.368,,,,,,,296.92,K,162,K,11.68,eV,,,,,https://webbook.nist.gov/,10_10_2019
75718,Dichlorodifluoromethane,120.914,,,,,,,243,K,115.2,K,12,eV,,,,,https://webbook.nist.gov/,10_10_2019
75729,Chlorotrifluoromethane,104.459,,,,,,,191.8,K,92.2,K,12.6,eV,571.3,kJ/mol,541.5,kJ/mol,https://webbook.nist.gov/,10_10_2019
75865,Acetone cyanohydrin,85.1045,,,-2450.6,kJ/mol,,,,,251.9,K,11.09,eV,,,,,https://webbook.nist.gov/,10_10_2019
75887,"Ethane, 2-chloro-1,1,1-trifluoro-",118.485,,,,,,,279.25,K,,,,,,,,,https://webbook.nist.gov/,10_10_2019
76017,"Ethane, pentachloro-",202.294,,,-862.3,kJ/mol,,,435.1,K,243.5,K,,,,,,,https://webbook.nist.gov/,10_10_2019
76028,Trichloroacetyl chloride,181.833,,,,,,,391,K,216.2,K,,,,,,,https://webbook.nist.gov/,10_10_2019
76062,Trichloronitromethane,164.375,,,,,,,385.15,K,203.7,K,,,,,,,https://webbook.nist.gov/,10_10_2019
76131,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",187.376,,,-641.6,kJ/mol,,,320.7,K,238.15,K,,,,,,,https://webbook.nist.gov/,10_10_2019
76142,"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-",170.921,,,-589.9,kJ/mol,,,276.7,K,,,,,,,,,https://webbook.nist.gov/,10_10_2019
76153,Pentafluoroethyl chloride,154.466,,,,,,,263,K,,,,,,,,,https://webbook.nist.gov/,10_10_2019
76448,Heptachlor,373.318,,,,,,,,,369,K,,,,,,,https://webbook.nist.gov/,10_10_2019
76879,Fentin hydroxide,367.029,,,,,-9999.4,kJ/mol,,,390.88,K,,,,,,,https://webbook.nist.gov/,10_10_2019
77098,Phenolphthalein,318.3228,,,,,,,,,535.7,K,,,,,,,https://webbook.nist.gov/,10_10_2019
77474,Hexachlorocyclopentadiene,272.772,,,-2030,kJ/mol,,,,,,,,,,,,,https://webbook.nist.gov/,10_10_2019
77736,Dicyclopentadiene,132.2023,,,,,,,359.2,K,306.8,K,8.79,eV,,,,,https://webbook.nist.gov/,10_10_2019
77781,"Sulfuric acid, dimethyl ester",126.132,,,,,,,461.95,K,241.15,K,,,,,,,https://webbook.nist.gov/,10_10_2019
78795,Isoprene,68.117,-3186.6,kJ/mol,-3158.2,kJ/mol,,,307,K,131,K,8.86,eV,826.4,kJ/mol,797.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
78842,"Propanal, 2-methyl-",72.1057,,,-2467.2,kJ/mol,,,336,K,201,K,9.71,eV,797.3,kJ/mol,765.5,kJ/mol,https://webbook.nist.gov/,10_10_2019
78875,"Propane, 1,2-dichloro-",112.986,,,-1883.2,kJ/mol,,,370,K,172.75,K,10.8,eV,,,,,https://webbook.nist.gov/,10_10_2019
78886,"1-Propene, 2,3-dichloro-",110.97,,,-1726.2,kJ/mol,,,367.2,K,,,9.82,eV,,,,,https://webbook.nist.gov/,10_10_2019
78922,2-Butanol,74.1216,,,-2660.6,kJ/mol,,,372,K,158.45,K,9.88,eV,815,kJ/mol,784.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
79005,"Ethane, 1,1,2-trichloro-",133.404,,,-1098.1,kJ/mol,,,386.8,K,237.9,K,,,,,,,https://webbook.nist.gov/,10_10_2019
79016,Trichloroethylene,131.388,,,-956.5,kJ/mol,,,360.2,K,188.5,K,9.46,eV,,,,,https://webbook.nist.gov/,10_10_2019
79061,2-Propenamide,71.0779,,,,,-1683.02,kJ/mol,,,,,,,870.7,kJ/mol,839.8,kJ/mol,https://webbook.nist.gov/,10_10_2019
79107,2-Propenoic acid,72.0627,,,-1373,kJ/mol,,,414.45,K,286,K,10.6,eV,,,,,https://webbook.nist.gov/,10_10_2019
79118,"Acetic acid, chloro-",94.497,,,,,-726.8,kJ/mol,462.5,K,332,K,,,765.4,kJ/mol,734.5,kJ/mol,https://webbook.nist.gov/,10_10_2019
