Internal Tracking Number,Substance Name,CAS,Active Status,ID
2733,"7,12-Dimethylbenz[a]Anthracene",57-97-6,,57-97-6
308809,"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,,57117-31-4
308817,"1,2,3,7,8-Pentachlorodibenzofuran",57117-41-6,,57117-41-6
308825,"1,2,3,6,7,8-Hexachlorodibenzofuran",57117-44-9,,57117-44-9
694281,"1,2,3,6,7,8-Hexachlorodibenzo-p-Dioxin",57653-85-7,,57653-85-7
17001371,4-Nitropyrene,57835-92-4,,57835-92-4
2923,"1,2,3,4,5,6-Hexachlorocyclohexane",58-89-9,,58-89-9
55939,"2,4-Toluene diisocyanate",584-84-9,,584-84-9
3194,N-Nitrosomorpholine,59-89-2,,59-89-2
57448,Vinyl bromide,593-60-2,,593-60-2
3269,Dimethyl aminoazobenzene,60-11-7,,60-11-7
3376,Methyl hydrazine,60-34-4,,60-34-4
3384,Acetamide,60-35-5,,60-35-5
58495,5-Nitroacenaphthene,602-87-9,,602-87-9
59048,2-Nitrofluorene,607-57-8,,607-57-8
59220,Hexachlorocyclohexane mixture,608-73-1,,608-73-1
59220,Lindane (all isomers),608-73-1,,608-73-1
317966,"2,3,4,6,7,8-Hexachlorodibenzofuran",60851-34-5,,60851-34-5
3632,Aniline,62-53-3,,62-53-3
3681,Dichlorvos,62-73-7,,62-73-7
3707,N-Nitrosodimethylamine,62-75-9,,62-75-9
62398,Ethylene Glycol Monobenzyl Ether,622-08-2,,622-08-2
63321,Methyl isocyanate,624-83-9,,624-83-9
64634,Ethylene Glycol Diethyl Ether,629-14-1,,629-14-1
3723,Carbaryl,63-25-2,,63-25-2
65052,Carbon Monoxide,630-08-0,,630-08-0
3889,Diethyl sulfate,64-67-5,,64-67-5
524672102,Methylbenzopyrene,65357-69-9,,65357-69-9
4218,(Ethylenebis(Oxyethylenenitrilo)) Tetraacetic Acid,67-42-5,,67-42-5
4283,Methanol,67-56-1,,67-56-1
4317,Chloroform,67-66-3,,67-66-3
4341,Hexachloroethane,67-72-1,,67-72-1
358382,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",67562-39-4,,67562-39-4
4416,Dimethyl formamide,68-12-2,,68-12-2
67314,Hexamethylphosphoramide,680-31-9,,680-31-9
67462,N-Nitroso-N-methylurea,684-93-5,,684-93-5
67819,Diethylene Glycol Dinitrate,693-21-0,,693-21-0
525212,"1,2,3,4,7,8-Hexachlorodibenzofuran",70648-26-9,,70648-26-9
4754,Benzene,71-43-2,,71-43-2
4796,Methyl chloroform,71-55-6,,71-55-6
4796,"1,1,1-Trichloroethane",71-55-6,,71-55-6
4903,Methoxychlor,72-43-5,,72-43-5
4945,DDE,72-55-9,,72-55-9
570150,"1,2,3,7,8,9-Hexachlorodibenzofuran",72918-21-9,,72918-21-9
