ID,NAT_AGG_PPV,YEAR,UNIT,Internal Tracking Number,Substance Name
10042769,10000000,2012,lb,167072,"Nitric acid, strontium salt (2:1)"
10043013,5000000000,2015,lb,167106,"Sulfuric acid, aluminum salt (3:2)"
10043013,5000000000,2014,lb,167106,"Sulfuric acid, aluminum salt (3:2)"
10043013,5000000000,2013,lb,167106,"Sulfuric acid, aluminum salt (3:2)"
10043013,5000000000,2012,lb,167106,"Sulfuric acid, aluminum salt (3:2)"
10043115,10000000,2015,lb,167114,Boron nitride (BN)
10043115,10000000,2014,lb,167114,Boron nitride (BN)
10043115,10000000,2013,lb,167114,Boron nitride (BN)
10043115,10000000,2012,lb,167114,Boron nitride (BN)
10043353,750000000,2015,lb,167148,Boric acid (H3BO3)
10043353,750000000,2014,lb,167148,Boric acid (H3BO3)
10043353,750000000,2013,lb,167148,Boric acid (H3BO3)
10043353,750000000,2012,lb,167148,Boric acid (H3BO3)
10043524,5000000000,2015,lb,167155,Calcium chloride (CaCl2)
10043524,5000000000,2014,lb,167155,Calcium chloride (CaCl2)
10043524,5000000000,2013,lb,167155,Calcium chloride (CaCl2)
10043524,5000000000,2012,lb,167155,Calcium chloride (CaCl2)
100447,100000000,2015,lb,19430,"Benzene, (chloromethyl)-"
100447,50000000,2014,lb,19430,"Benzene, (chloromethyl)-"
100447,100000000,2013,lb,19430,"Benzene, (chloromethyl)-"
100447,100000000,2012,lb,19430,"Benzene, (chloromethyl)-"
10045951,100000,2015,lb,167247,"Nitric acid, neodymium(3+) salt (3:1)"
10045951,500000,2014,lb,167247,"Nitric acid, neodymium(3+) salt (3:1)"
10045951,500000,2013,lb,167247,"Nitric acid, neodymium(3+) salt (3:1)"
10045951,500000,2012,lb,167247,"Nitric acid, neodymium(3+) salt (3:1)"
100470,500000,2015,lb,19455,Benzonitrile
100470,500000,2014,lb,19455,Benzonitrile
100470,500000,2013,lb,19455,Benzonitrile
100470,25000,2012,lb,19455,Benzonitrile
10049044,5000000000,2015,lb,167296,Chlorine oxide (ClO2)
10049044,5000000000,2014,lb,167296,Chlorine oxide (ClO2)
10049044,5000000000,2013,lb,167296,Chlorine oxide (ClO2)
10049044,5000000000,2012,lb,167296,Chlorine oxide (ClO2)
10049066,25000,2015,lb,167312,Titanium chloride (TiCl2)
10049066,100000,2014,lb,167312,Titanium chloride (TiCl2)
10049066,100000,2013,lb,167312,Titanium chloride (TiCl2)
10049066,100000,2012,lb,167312,Titanium chloride (TiCl2)
10049362,10000000,2015,lb,167379,"Boric acid (H3BO3), compd. with 2,2',2''-nitrilotris[ethanol] (1:?)"
10049362,1000000,2014,lb,167379,"Boric acid (H3BO3), compd. with 2,2',2''-nitrilotris[ethanol] (1:?)"
10049362,10000000,2013,lb,167379,"Boric acid (H3BO3), compd. with 2,2',2''-nitrilotris[ethanol] (1:?)"
10049362,1000000,2012,lb,167379,"Boric acid (H3BO3), compd. with 2,2',2''-nitrilotris[ethanol] (1:?)"
10051442,10000000,2015,lb,167387,"Hexanoic acid, sodium salt (1:1)"
10051442,10000000,2014,lb,167387,"Hexanoic acid, sodium salt (1:1)"
10051442,10000000,2013,lb,167387,"Hexanoic acid, sodium salt (1:1)"
10051442,10000000,2012,lb,167387,"Hexanoic acid, sodium salt (1:1)"
100516,50000000,2015,lb,19497,Benzenemethanol
100516,50000000,2014,lb,19497,Benzenemethanol
100516,50000000,2013,lb,19497,Benzenemethanol
100516,50000000,2012,lb,19497,Benzenemethanol
10052478,25000,2015,lb,167395,"Ethanaminium, N,N-diethyl-N-methyl-, chloride (1:1)"
10052478,100000,2014,lb,167395,"Ethanaminium, N,N-diethyl-N-methyl-, chloride (1:1)"
10052478,25000,2013,lb,167395,"Ethanaminium, N,N-diethyl-N-methyl-, chloride (1:1)"
10052478,100000,2012,lb,167395,"Ethanaminium, N,N-diethyl-N-methyl-, chloride (1:1)"
100527,50000000,2015,lb,19505,Benzaldehyde
100527,50000000,2014,lb,19505,Benzaldehyde
100527,50000000,2013,lb,19505,Benzaldehyde
100527,50000000,2012,lb,19505,Benzaldehyde
1005670,25000,2015,lb,76398,"Morpholine, 4-butyl-"
100641,500000000,2015,lb,19604,"Cyclohexanone, oxime"
100641,500000000,2014,lb,19604,"Cyclohexanone, oxime"
100641,750000000,2013,lb,19604,"Cyclohexanone, oxime"
100641,500000000,2012,lb,19604,"Cyclohexanone, oxime"
100663,100000,2015,lb,19620,"Benzene, methoxy-"
100663,100000,2014,lb,19620,"Benzene, methoxy-"
100663,500000,2013,lb,19620,"Benzene, methoxy-"
100663,1000000,2012,lb,19620,"Benzene, methoxy-"
100743,1000000,2015,lb,19687,"Morpholine, 4-ethyl-"
10081671,10000000,2015,lb,167486,"Benzenamine, 4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]-"
10081671,10000000,2014,lb,167486,"Benzenamine, 4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]-"
10081671,10000000,2013,lb,167486,"Benzenamine, 4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]-"
