PREFERRED NAME,CAS NUMBER,DSSTOX ID,Molecular Mass,LogP: Octanol-Water,LogP: Octanol-Water - Score,Melting Point,Melting Point - Units,Melting Point - Score,Boiling Point,Boiling Point - Units,Boiling Point - Score,Water Solubility,Water Solubility - Units,Water Solubility - Score,Vapor Pressure,Vapor Pressure - Units,Vapor Pressure - Score,Flash Point,Flash Point - Units,Flash Point - Score,Surface Tension,Surface Tension - Units,Surface Tension - Score,Index of Refraction,Index of Refraction - Score,Molar Refractivity,Molar Refractivity - Units,Molar Refractivity - Score,Polarizability,Polarizability - Units,Polarizability - Score,Density,Density - Units,Density - Score,Molar Volume,Molar Volume - Units,Molar Volume - Score,Thermal Conductivity,Thermal Conductivity - Units,Thermal Conductivity - Score,Viscosity,Viscosity - Units,Viscosity - Score,Henry's Law,Henry's Law - Score,LogKoa: Octanol-Air,LogKoa: Octanol-Air - Score,pKa Acidic Apparent,pKa Acidic Apparent - Score,pKa Basic Apparent,pKa Basic Apparent - Score,Bioaccumulation Factor,Bioaccumulation Factor - Score,Bioconcentration Factor,Bioconcentration Factor - Score,Soil Adsorp. Coeff. (Koc),Soil Adsorp. Coeff. (Koc) - Units,Soil Adsorp. Coeff. (Koc) - Score,Atmos. Hydroxylation Rate,Atmos. Hydroxylation Rate - Units,Atmos. Hydroxylation Rate - Score,Biodeg. Half-Life,Biodeg. Half-Life - Units,Biodeg. Half-Life - Score,Fish Biotrans. Half-Life (Km),Fish Biotrans. Half-Life (Km) - Units,Fish Biotrans. Half-Life (Km) - Score,Data Quality - CompTox,Data Source,Consulted Date
"2,2',5,6'-Tetrachlorobiphenyl",41464419,DTXSID3073509,291.98,,,107,°C,3,331,°C,3,1.63E-07,mol/L,2,2.25E-05,mmHg,2,157,°C,3,44.9,dyn/cm,4,1.61,4,70.4,cm^3,4,27.9,Å^3,4,1.42,g/cm^3,3,203,cm^3,4,122,mW/(m*K),4,,,,0.000164,4,8.45,2,,,,,,,,,97900,L/kg,4,7.84E-13,cm3/molecule*sec,4,13.4,days,4,226,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID3073509,07_04_2020
"2,2',3,4',5'-Pentachlorobiphenyl",41464511,DTXSID2073510,326.42,,,112,°C,3,375,°C,3,8.7E-08,mol/L,2,1.6E-05,mmHg,3,181,°C,3,46.5,dyn/cm,4,1.62,4,75.3,cm^3,4,29.9,Å^3,4,1.52,g/cm^3,3,214,cm^3,4,120,mW/(m*K),4,,,,7.4E-05,2,9.37,4,,,,,,,,,490000,L/kg,2,5.77E-13,cm3/molecule*sec,4,14.8,days,4,355,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID2073510,07_04_2020
"1,8-Dinitropyrene",42397659,DTXSID2073514,292.25,,,224,°C,3,476,°C,3,1.73E-07,mol/L,3,5.63E-10,mmHg,3,247,°C,3,83.2,dyn/cm,4,1.89,4,85.6,cm^3,4,33.9,Å^3,4,1.57,g/cm^3,3,186,cm^3,4,131,mW/(m*K),4,,,,2.41E-07,4,10.6,4,,,,,,,133,3,218000,L/kg,3,2.57E-12,cm3/molecule*sec,4,40.8,days,4,0.757,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID2073514,07_04_2020
"2,2',3,4-Tetrachlorobiphenyl",52663599,DTXSID5073535,291.98,,,95.1,°C,3,347,°C,3,1.48E-07,mol/L,2,7.91E-05,mmHg,3,160,°C,3,44.9,dyn/cm,4,1.61,4,70.4,cm^3,4,27.9,Å^3,4,1.43,g/cm^3,3,203,cm^3,4,123,mW/(m*K),4,,,,0.00014,2,8.9,4,,,,,,,,,85300,L/kg,4,7.94E-13,cm3/molecule*sec,4,11.9,days,4,321,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5073535,07_04_2020
"2,2',3,3',6-Pentachlorobiphenyl",52663602,DTXSID0073536,326.42,,,117,°C,3,362,°C,3,1.66E-07,mol/L,2,1.62E-05,mmHg,3,177,°C,3,46.5,dyn/cm,4,1.62,4,75.3,cm^3,4,29.9,Å^3,4,1.52,g/cm^3,3,214,cm^3,4,119,mW/(m*K),4,,,,6.78E-05,4,8.8,2,,,,,,,,,291000,L/kg,4,6.31E-13,cm3/molecule*sec,4,19.8,days,4,348,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0073536,07_04_2020
"2,2',3,5,5'-Pentachlorobiphenyl",52663613,DTXSID5073537,326.42,,,115,°C,3,362,°C,3,4.69E-08,mol/L,3,1.43E-05,mmHg,3,182,°C,3,46.5,dyn/cm,4,1.62,4,75.3,cm^3,4,29.9,Å^3,4,1.52,g/cm^3,3,214,cm^3,4,119,mW/(m*K),4,,,,8.38E-05,4,9.16,4,,,,,,,,,220000,L/kg,4,5.6E-13,cm3/molecule*sec,4,13.4,days,4,298,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5073537,07_04_2020
"2,2',3,3',5,6,6'-Heptachlorobiphenyl",52663646,DTXSID0073538,395.31,,,141,°C,3,396,°C,3,1.15E-08,mol/L,2,2.54E-06,mmHg,3,194,°C,3,49.3,dyn/cm,4,1.63,4,85.1,cm^3,4,33.7,Å^3,4,1.69,g/cm^3,3,238,cm^3,4,115,mW/(m*K),4,,,,2.4E-05,2,10.4,4,,,,,,,,,1240000,L/kg,4,6.79E-13,cm3/molecule*sec,4,35.7,days,4,307,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0073538,07_04_2020
"2,2',3,3',4,5'-Hexachlorobiphenyl",52663668,DTXSID5073539,360.86,,,118,°C,3,396,°C,3,7.52E-09,mol/L,3,3.56E-06,mmHg,3,193,°C,3,48,dyn/cm,4,1.63,4,80.2,cm^3,4,31.8,Å^3,4,1.6,g/cm^3,3,226,cm^3,4,120,mW/(m*K),4,,,,3.7E-05,2,9.33,4,,,,,,,,,633000,L/kg,4,6.6E-13,cm3/molecule*sec,4,16.3,days,4,277,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5073539,07_04_2020
"2,2',3,3',4,4',6-Heptachlorobiphenyl",52663715,DTXSID4073540,395.31,,,137,°C,3,411,°C,3,5.49E-09,mol/L,2,1.4E-06,mmHg,2,198,°C,3,49.3,dyn/cm,4,1.63,4,85.1,cm^3,4,33.7,Å^3,4,1.7,g/cm^3,3,238,cm^3,4,109,mW/(m*K),4,,,,8.45E-06,4,10.2,2,,,,,,,,,821000,L/kg,4,6.79E-13,cm3/molecule*sec,4,20,days,4,331,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID4073540,07_04_2020
"2,2',3,3',5,6'-Hexachlorobiphenyl",52744135,DTXSID9073541,360.86,,,124,°C,3,386,°C,3,1.51E-08,mol/L,2,3.69E-06,mmHg,3,184,°C,3,48,dyn/cm,4,1.63,4,80.2,cm^3,4,31.8,Å^3,4,1.6,g/cm^3,3,226,cm^3,4,111,mW/(m*K),4,,,,5.6E-05,2,9.66,4,,,,,,,,,1460000,L/kg,4,6.59E-13,cm3/molecule*sec,4,16.4,days,4,209,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID9073541,07_04_2020
"2,2',3,3',4,5-Hexachlorobiphenyl",55215184,DTXSID8073554,360.86,,,121,°C,3,397,°C,3,3.8E-09,mol/L,2,2.37E-06,mmHg,3,193,°C,3,48,dyn/cm,4,1.63,4,80.2,cm^3,4,31.8,Å^3,4,1.6,g/cm^3,3,226,cm^3,4,120,mW/(m*K),4,,,,2.9E-05,2,9.7,4,,,,,,,,,726000,L/kg,4,6.59E-13,cm3/molecule*sec,4,19.7,days,4,214,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8073554,07_04_2020
